scorer,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000
bodyparts,UpperLip,UpperLip,UpperLip,LowerLip,LowerLip,LowerLip,Nose,Nose,Nose,EyeBridge,EyeBridge,EyeBridge,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_right,Start_outline_outer_right,Start_outline_outer_right,LowestPoint_outline,LowestPoint_outline,LowestPoint_outline,MidLowleft_outline,MidLowleft_outline,MidLowleft_outline,MidLowright_outline,MidLowright_outline,MidLowright_outline
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1033.017333984375,476.5545654296875,0.9958038926124573,1030.2838134765625,494.29266357421875,0.9951518774032593,1038.656982421875,452.4151916503906,0.9624160528182983,1052.360107421875,414.2140197753906,0.9365416169166565,974.8265380859375,619.9321899414062,0.1661866307258606,1213.4111328125,619.91357421875,0.20414772629737854,1036.967041015625,766.4119873046875,0.023238591849803925,1021.795654296875,757.4859008789062,0.16376163065433502,1228.1883544921875,723.0537109375,0.033451713621616364
1,1034.7735595703125,476.5545654296875,0.9899139404296875,1033.1890869140625,494.29266357421875,0.9895965456962585,1042.0633544921875,452.4151916503906,0.9661337733268738,1055.2603759765625,414.2140197753906,0.942841112613678,976.1171875,629.9482421875,0.6033828258514404,1216.5052490234375,619.91357421875,0.27552688121795654,1158.66552734375,785.6233520507812,0.08652406185865402,1021.795654296875,757.4859008789062,0.9045631885528564,1230.4005126953125,724.15087890625,0.03847619518637657
2,1039.102783203125,476.5545654296875,0.9948362112045288,1037.9207763671875,494.29266357421875,0.9936298727989197,1043.2486572265625,452.4151916503906,0.996246874332428,1059.442138671875,414.2140197753906,0.9753658771514893,977.01171875,630.4346923828125,0.8076004385948181,1219.6337890625,619.9625244140625,0.3238392770290375,1169.6575927734375,785.6233520507812,0.022422216832637787,1021.795654296875,757.4859008789062,0.7969399094581604,1233.17236328125,724.4696655273438,0.04660176485776901
3,1040.162353515625,469.5590515136719,0.9989871382713318,1039.319580078125,487.8962707519531,0.9967251420021057,1044.423828125,448.0884704589844,0.9906229376792908,1059.442138671875,412.7066650390625,0.9127296805381775,976.1171875,631.5450439453125,0.05631633475422859,1220.581787109375,619.91357421875,0.04282921180129051,1158.66552734375,786.965576171875,0.0063023874536156654,1021.795654296875,757.4859008789062,0.7383571267127991,1233.831787109375,729.0233764648438,0.07680001854896545
4,1040.7037353515625,464.6165466308594,0.9989755153656006,1041.2955322265625,486.2261962890625,0.9988585710525513,1045.8304443359375,441.71124267578125,0.986519455909729,1060.975830078125,405.19683837890625,0.9428322911262512,977.01171875,631.5450439453125,0.9148803949356079,1220.581787109375,615.596923828125,0.024365991353988647,1158.66552734375,793.0046997070312,0.01678420603275299,1019.5108032226562,754.2865600585938,0.05360640585422516,1233.831787109375,730.47119140625,0.07233807444572449
5,1041.9908447265625,462.77752685546875,0.9992315769195557,1043.445068359375,484.9889831542969,0.9994575381278992,1046.74365234375,438.1078186035156,0.9953191876411438,1060.975830078125,402.0300598144531,0.9940072298049927,977.01171875,665.2388305664062,0.8605477809906006,1219.6337890625,613.5076293945312,0.040310975164175034,1158.66552734375,793.0046997070312,0.11765702813863754,1019.5108032226562,754.2865600585938,0.37381160259246826,1233.831787109375,730.47119140625,0.29085400700569153
6,1042.47900390625,460.2260437011719,0.9986494183540344,1043.6234130859375,482.8056945800781,0.9994850158691406,1046.74365234375,436.52105712890625,0.9952644109725952,1061.0203857421875,401.1766662597656,0.9869832992553711,977.01171875,665.2388305664062,0.7081343531608582,1200.626220703125,613.5076293945312,0.051318105310201645,1155.5670166015625,788.186767578125,0.027670683339238167,1023.5963745117188,759.6625366210938,0.7788175344467163,1235.1044921875,734.0453491210938,0.09448404610157013
7,1042.7265625,457.8740234375,0.9982037544250488,1044.0421142578125,481.3855285644531,0.9995633959770203,1047.0894775390625,434.26324462890625,0.9926717281341553,1061.0203857421875,400.9309387207031,0.9812989830970764,977.3533325195312,619.7622680664062,0.4392373561859131,1194.7940673828125,581.8814697265625,0.0546020083129406,1057.561279296875,788.186767578125,0.28774401545524597,1023.5963745117188,759.6625366210938,0.9173822999000549,1235.2965087890625,734.0453491210938,0.4148833751678467
