scorer,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000
bodyparts,UpperLip,UpperLip,UpperLip,LowerLip,LowerLip,LowerLip,Nose,Nose,Nose,EyeBridge,EyeBridge,EyeBridge,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_right,Start_outline_outer_right,Start_outline_outer_right,LowestPoint_outline,LowestPoint_outline,LowestPoint_outline,MidLowleft_outline,MidLowleft_outline,MidLowleft_outline,MidLowright_outline,MidLowright_outline,MidLowright_outline
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1327.6619873046875,304.1288757324219,0.9985941052436829,1340.0665283203125,331.5853576660156,0.9992766976356506,1259.53662109375,250.91871643066406,0.9980332255363464,1158.939453125,229.95700073242188,0.9996645450592041,997.3134765625,335.5736083984375,0.9575093388557434,1327.0733642578125,501.28265380859375,0.9787713885307312,1304.29052734375,811.0576782226562,0.9968938827514648,1201.009521484375,890.0999145507812,0.9958563446998596,1353.1146240234375,674.6956176757812,0.9845367074012756
1,1327.6619873046875,304.1288757324219,0.9983526468276978,1341.304443359375,331.5853576660156,0.9992615580558777,1259.53662109375,250.91871643066406,0.9957122802734375,1160.8638916015625,229.95700073242188,0.9983969330787659,997.3134765625,887.1151123046875,0.9993240833282471,1332.221923828125,501.7244567871094,0.952544629573822,1313.244873046875,811.259521484375,0.9838422536849976,1201.009521484375,892.9923095703125,0.9944669008255005,1365.496826171875,681.8467407226562,0.9974281191825867
2,1327.6619873046875,304.1288757324219,0.9987931251525879,1341.304443359375,331.5853576660156,0.9988859295845032,1259.53662109375,250.91871643066406,0.9951410293579102,1161.7252197265625,230.04501342773438,0.9993322491645813,997.3134765625,893.1550903320312,0.012245253659784794,1332.91357421875,501.7244567871094,0.9743419885635376,1313.5103759765625,811.259521484375,0.9899293780326843,1201.009521484375,902.1550903320312,0.9958438277244568,1365.8519287109375,681.8467407226562,0.9940259456634521
3,1326.65185546875,300.932861328125,0.9976388216018677,1341.304443359375,328.3040771484375,0.998528242111206,1255.295166015625,249.66046142578125,0.9982677698135376,1161.843505859375,230.04501342773438,0.9989909529685974,972.9049682617188,896.2848510742188,0.997179388999939,1337.0689697265625,501.28265380859375,0.9911841154098511,1315.9490966796875,811.259521484375,0.9325626492500305,1172.65283203125,919.2163696289062,0.9958019852638245,1366.1641845703125,674.6956176757812,0.9953553676605225
4,1326.25048828125,298.34234619140625,0.9944082498550415,1340.84375,325.158935546875,0.9993020296096802,1253.1204833984375,249.13096618652344,0.9985479712486267,1161.7252197265625,230.04501342773438,0.9988678693771362,966.986572265625,903.9951782226562,0.9992002844810486,1337.0689697265625,498.7623596191406,0.9715150594711304,1337.0867919921875,819.89453125,0.8213794827461243,1163.8055419921875,935.572509765625,0.9503461122512817,1378.10986328125,667.8654174804688,0.9539676904678345
5,1325.07666015625,295.0863037109375,0.9971538782119751,1340.48876953125,322.3727722167969,0.998971700668335,1248.8369140625,246.931640625,0.9989895224571228,1160.8638916015625,230.83319091796875,0.9983093738555908,961.7310180664062,909.625244140625,0.998584508895874,1337.0689697265625,496.1634216308594,0.9924690127372742,1338.6224365234375,827.8474731445312,0.9957911968231201,1163.8055419921875,941.4031982421875,0.997958779335022,1390.7750244140625,665.3043212890625,0.9820389151573181
6,1320.101806640625,289.7021484375,0.9981725215911865,1337.5968017578125,320.33001708984375,0.9977635145187378,1243.2783203125,243.49752807617188,0.9976892471313477,1158.3748779296875,230.83319091796875,0.9989666938781738,961.1001586914062,912.3644409179688,0.9961398243904114,1337.0689697265625,487.9877624511719,0.9975683093070984,1340.786376953125,838.27783203125,0.9966668486595154,1162.9332275390625,947.0465698242188,0.9969707727432251,1392.912109375,664.6141967773438,0.9945630431175232
7,1317.337890625,288.2354736328125,0.9991849064826965,1333.8662109375,313.1823425292969,0.9988608360290527,1242.3065185546875,241.357177734375,0.9979442954063416,1155.5767822265625,230.83319091796875,0.9992208480834961,959.096923828125,912.3644409179688,0.9993058443069458,1334.91015625,479.0212707519531,0.9952898025512695,1340.786376953125,838.27783203125,0.9979842901229858,1163.8055419921875,950.2180786132812,0.9977153539657593,1398.2803955078125,663.2333984375,0.9951466917991638
