Filename,Begin Time - msec,End Time - msec,inflation_cycle,scene,individual
Opp_August_14_Session_1_zoom_syncedboom,362750,363145,1,1,Fajar
Opp_August_14_Session_1_zoom_syncedboom,993080,993665,2,2,Fajar
Opp_August_14_Session_1_zoom_syncedboom,994350,994640,3,2,Fajar
Opp_August_14_Session_1_zoom_syncedboom,995128,995813,4,2,Fajar
Opp_August_14_Session_1_zoom_syncedboom,1055050,1055600,5,3,Fajar
Opp_August_18_Session_1_zoom_syncedboom,753670,753980,5,5,Fajar
Opp_August_18_Session_1_zoom_syncedboom,324010,324500,1,1,Pelangi
Opp_August_18_Session_1_zoom_syncedboom,386675,387050,2,2,Roger
Opp_August_18_Session_1_zoom_syncedboom,442075,442585,3,3,Roger
Opp_August_18_Session_1_zoom_syncedboom,459640,460060,4,4,Roger
Opp_August_20_Session_1_zoom_syncedboom,487840,488370,1,1,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,534719,535139,2,2,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,605213,605786,3,3,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,606373,607013,4,3,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,607906,608332,5,3,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,640906,641386,6,4,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,673640,674246,7,5,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,732826,733500,8,6,Pelangi
Opp_August_20_Session_1_zoom_syncedboom,833860,834246,9,7,Pelangi
Opp_August_26_Session_1_zoom_syncedboom,307710,308100,1,1,Roger
Opp_August_29_Session_1_zoom_syncedboom,1313525,1314065,7,5,Fajar
Opp_August_29_Session_1_zoom_syncedboom,1316190,1316930,8,5,Fajar
Opp_August_29_Session_1_zoom_syncedboom,911870,912460,6,4,Pelangi
Opp_August_29_Session_1_zoom_syncedboom,271920,272390,1,1,Roger
Opp_August_29_Session_1_zoom_syncedboom,287080,287620,2,1,Roger
Opp_August_29_Session_1_zoom_syncedboom,383790,384340,3,2,Roger
Opp_August_29_Session_1_zoom_syncedboom,400150,400600,4,2,Roger
Opp_August_29_Session_1_zoom_syncedboom,867280,867850,5,3,Roger
Opp_June_13_Session_1_zoom_syncedboom,1176430,1177120,1,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1181240,1182010,2,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1182740,1183320,3,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1183475,1184205,4,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1185300,1185800,5,1,Baju
Opp_June_13_Session_1_zoom_syncedboom,1191240,1191660,6,2,Baju
Opp_June_13_Session_1_zoom_syncedboom,1259280,1260100,7,3,Baju
Opp_June_13_Session_1_zoom_syncedboom,1268650,1269010,8,4,Baju
Opp_June_15_Session_1_zoom_syncedboom,310800,311260,1,1,fajar
Opp_June_15_Session_1_zoom_syncedboom,523570,524140,2,2,Pelangi
Opp_June_16_Session_1_zoom_syncedboom,168447,168900,1,1,Roger
Opp_June_16_Session_1_zoom_syncedboom,323532,324113,2,8,fajar
Opp_June_16_Session_1_zoom_syncedboom,325033,326037,3,8,fajar
Opp_June_16_Session_1_zoom_syncedboom,326591,327142,4,8,fajar
Opp_June_16_Session_1_zoom_syncedboom,348358,349259,5,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,381292,381882,6,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,382690,383310,7,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,383632,384068,8,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,384430,385011,9,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,402257,402730,10,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,403198,403544,11,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,403798,404356,12,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,405361,405777,13,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,414395,415483,14,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,418660,419187,15,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,419479,419885,16,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,420158,420823,17,10,fajar
Opp_June_16_Session_1_zoom_syncedboom,460861,461457,18,11,roger
Opp_June_16_Session_1_zoom_syncedboom,461897,462622,19,11,roger
Opp_June_16_Session_1_zoom_syncedboom,462744,463489,20,11,roger
Opp_June_16_Session_1_zoom_syncedboom,463620,464103,21,11,roger
Opp_June_16_Session_1_zoom_syncedboom,464223,464563,22,11,roger
Opp_June_16_Session_1_zoom_syncedboom,490527,490997,23,12,fajar
Opp_June_16_Session_1_zoom_syncedboom,492016,492405,24,12,fajar
Opp_June_16_Session_1_zoom_syncedboom,493193,493467,25,12,fajar
Opp_June_16_Session_1_zoom_syncedboom,493963,494477,26,12,fajar
Opp_June_16_Session_1_zoom_syncedboom,564763,565723,27,14,roger
Opp_June_16_Session_1_zoom_syncedboom,565734,566214,28,14,roger
Opp_June_16_Session_1_zoom_syncedboom,566780,567214,29,14,roger
Opp_June_16_Session_1_zoom_syncedboom,754888,755661,30,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,756314,756937,31,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,774230,774773,32,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,787690,788198,33,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,788780,789242,34,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,789347,789980,35,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,804214,804850,36,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,805625,806264,37,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,806777,807171,38,17,fajar
Opp_June_16_Session_1_zoom_syncedboom,839445,840013,39,18,fajar
Opp_June_16_Session_1_zoom_syncedboom,840946,841650,40,18,fajar
Opp_June_16_Session_1_zoom_syncedboom,841965,842593,41,18,fajar
Opp_June_16_Session_1_zoom_syncedboom,842600,843403,42,18,fajar
Opp_June_16_Session_1_zoom_syncedboom,843730,844160,43,18,fajar
Opp_June_16_Session_1_zoom_syncedboom,881769,882527,44,19,fajar
Opp_June_16_Session_1_zoom_syncedboom,883710,884408,45,20,fajar
Opp_June_16_Session_1_zoom_syncedboom,884898,885248,46,20,fajar
Opp_June_16_Session_1_zoom_syncedboom,885459,886087,47,20,fajar
Opp_June_16_Session_1_zoom_syncedboom,902437,903070,48,21,fajar
Opp_June_16_Session_1_zoom_syncedboom,912991,913617,49,21,fajar
Opp_June_16_Session_1_zoom_syncedboom,914816,915495,50,21,fajar
Opp_June_16_Session_1_zoom_syncedboom,919758,920312,51,21,fajar
Opp_June_16_Session_1_zoom_syncedboom,986478,987013,52,23,fajar
Opp_June_16_Session_1_zoom_syncedboom,987410,987748,53,23,fajar
Opp_June_16_Session_1_zoom_syncedboom,988172,988683,54,23,fajar
Opp_June_16_Session_1_zoom_syncedboom,1050194,1050762,55,26,fajar
Opp_June_16_Session_1_zoom_syncedboom,1067269,1067821,56,26,fajar
