,frame,x,y,r,name,sample_rate
0,1,1046,654,196,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
1,2,1006,632,245,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
2,3,1042,594,233,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
3,4,1022,514,183,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
4,5,1002,524,209,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
5,6,1016,554,248,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
6,7,1002,542,235,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
7,8,526,274,228,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
8,9,1044,570,233,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
9,10,1008,546,249,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
10,11,1028,552,224,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_29_14_roger,25.0
