,frame,x,y,r,name,sample_rate
0,1,1190,154,133,framenr_1_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
1,2,1182,164,123,framenr_2_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
2,3,1198,156,138,framenr_3_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
3,4,1198,150,137,framenr_4_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
4,5,1196,150,139,framenr_5_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
5,6,1184,160,123,framenr_6_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
6,7,1204,164,100,framenr_7_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
7,8,324,298,177,framenr_8_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
8,9,262,274,173,framenr_9_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
9,10,264,266,244,framenr_10_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
10,11,1006,734,172,framenr_11_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
11,12,302,216,213,framenr_12_framevid__Opp_June_13_Session_1_zoom_syncedboom_5_1_Baju,25.0
