,frame,x,y,r,name,sample_rate
0,1,874,534,223,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
1,2,542,702,10,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
2,3,542,702,10,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
3,4,452,538,24,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
4,5,452,538,24,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
5,6,506,496,15,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
6,7,506,552,188,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
7,8,462,494,135,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
8,9,460,468,143,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
9,10,460,468,143,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
10,11,460,468,143,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
11,12,388,438,60,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
12,13,388,438,60,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
13,14,388,438,60,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_26_fajar,25.0
