,frame,x,y,r,name,sample_rate
0,1,1100,228,88,framenr_1_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
1,2,1092,230,95,framenr_2_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
2,3,1092,228,93,framenr_3_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
3,4,1088,232,98,framenr_4_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
4,5,1052,846,242,framenr_5_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
5,6,1090,224,91,framenr_6_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
6,7,1090,224,91,framenr_7_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
7,8,1088,224,93,framenr_8_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
8,9,1136,462,175,framenr_9_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
9,10,1036,854,243,framenr_10_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
10,11,670,728,245,framenr_11_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
11,12,1088,226,91,framenr_12_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
12,13,1466,384,237,framenr_13_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
13,14,1422,848,236,framenr_14_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
14,15,664,730,244,framenr_15_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
15,16,1002,850,229,framenr_16_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
16,17,1002,852,232,framenr_17_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
17,18,1098,814,196,framenr_18_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
18,19,662,724,244,framenr_19_framevid__Opp_August_18_Session_1_zoom_syncedboom_2_2_Roger,50.0
