 ,Label,X,Y,Perim.
1,Batch12:framenr_58_framevid_June12_03.jpeg,108.000,97.000,56.549
2,Batch12:framenr_58_framevid_June16_02.jpeg,1035.000,837.000,860.796
3,Batch12:framenr_58_framevid_June16_07.jpeg,1048.000,553.000,1168.672
4,Batch12:framenr_58_framevid_June16_20.jpeg,872.500,512.500,1366.593
5,Batch12:framenr_59_framevid_June09_01.jpeg,991.000,543.000,1105.841
6,Batch12:framenr_59_framevid_June09_02.jpeg,811.500,610.500,1416.858
7,Batch12:framenr_59_framevid_June09_03.jpeg,107.000,52.000,62.832
8,Batch12:framenr_59_framevid_June12_02.jpeg,107.000,52.000,62.832
9,Batch12:framenr_59_framevid_June12_03.jpeg,107.000,52.000,62.832
10,Batch12:framenr_59_framevid_June16_02.jpeg,1041.000,820.000,911.062
11,Batch12:framenr_59_framevid_June16_07.jpeg,1056.500,535.500,1272.345
12,Batch12:framenr_59_framevid_June16_20.jpeg,856.500,518.500,1366.593
13,Batch12:framenr_60_framevid_June09_01.jpeg,986.000,531.000,1156.106
14,Batch12:framenr_60_framevid_June09_02.jpeg,805.500,606.500,1404.292
15,Batch12:framenr_60_framevid_June09_03.jpeg,102.000,61.000,31.416
16,Batch12:framenr_60_framevid_June12_02.jpeg,102.000,61.000,31.416
17,Batch12:framenr_60_framevid_June12_03.jpeg,102.000,61.000,31.416
18,Batch12:framenr_60_framevid_June16_02.jpeg,1042.000,808.000,854.513
19,Batch12:framenr_60_framevid_June16_07.jpeg,1053.500,543.500,1240.929
20,Batch12:framenr_60_framevid_June16_20.jpeg,860.500,532.500,1322.611
21,Batch12:framenr_61_framevid_June09_01.jpeg,979.500,527.500,1159.248
22,Batch12:framenr_61_framevid_June09_02.jpeg,809.000,597.000,1413.717
23,Batch12:framenr_61_framevid_June12_02.jpeg,83.000,49.000,31.416
24,Batch12:framenr_61_framevid_June12_03.jpeg,83.000,49.000,31.416
25,Batch12:framenr_61_framevid_June16_02.jpeg,1051.000,778.000,911.062
26,Batch12:framenr_61_framevid_June16_07.jpeg,1038.000,546.000,1162.389
27,Batch12:framenr_61_framevid_June16_20.jpeg,858.000,511.000,1457.699
28,Batch12:framenr_62_framevid_June09_01.jpeg,948.000,511.000,1313.186
29,Batch12:framenr_62_framevid_June09_02.jpeg,807.000,595.000,1407.434
30,Batch12:framenr_62_framevid_June12_02.jpeg,77.000,46.000,31.416
31,Batch12:framenr_62_framevid_June12_03.jpeg,77.000,46.000,31.416
32,Batch12:framenr_62_framevid_June16_02.jpeg,1040.500,729.500,951.903
33,Batch12:framenr_62_framevid_June16_07.jpeg,1037.000,543.000,1156.106
34,Batch12:framenr_62_framevid_June16_20.jpeg,847.500,535.500,1360.310
35,Batch12:framenr_63_framevid_June09_01.jpeg,940.500,514.500,1322.611
36,Batch12:framenr_63_framevid_June09_02.jpeg,821.000,570.000,1539.380
37,Batch12:framenr_63_framevid_June12_02.jpeg,123.500,78.500,84.823
38,Batch12:framenr_63_framevid_June12_03.jpeg,123.500,78.500,84.823
39,Batch12:framenr_63_framevid_June16_02.jpeg,1029.000,713.000,911.062
40,Batch12:framenr_63_framevid_June16_07.jpeg,1050.500,529.500,1247.212
41,Batch12:framenr_63_framevid_June16_20.jpeg,862.500,521.500,1504.823
42,Batch12:framenr_64_framevid_June09_01.jpeg,943.000,492.000,1369.734
43,Batch12:framenr_64_framevid_June09_02.jpeg,816.500,584.500,1423.141
44,Batch12:framenr_64_framevid_June12_02.jpeg,119.500,52.500,21.991
45,Batch12:framenr_64_framevid_June12_03.jpeg,119.500,52.500,21.991
46,Batch12:framenr_64_framevid_June16_02.jpeg,1034.500,704.500,901.637
47,Batch12:framenr_64_framevid_June16_07.jpeg,1047.000,537.000,1174.956
48,Batch12:framenr_64_framevid_June16_20.jpeg,851.500,530.500,1473.407
49,Batch12:framenr_65_framevid_June09_01.jpeg,929.000,493.000,1338.318
50,Batch12:framenr_65_framevid_June09_02.jpeg,824.000,567.000,1520.531
