 ,Label,X,Y,Perim.
1,Batch30:framenr_236_framevid_June16_02.jpeg,968.000,535.000,1086.991
2,Batch30:framenr_237_framevid_June09_01.jpeg,101.500,52.500,40.841
3,Batch30:framenr_237_framevid_June12_02.jpeg,92.500,49.500,40.841
4,Batch30:framenr_237_framevid_June16_02.jpeg,969.500,542.500,1096.416
5,Batch30:framenr_238_framevid_June09_01.jpeg,102.500,66.500,40.841
6,Batch30:framenr_238_framevid_June12_02.jpeg,1190.500,507.500,1504.823
7,Batch30:framenr_238_framevid_June16_02.jpeg,969.000,557.000,1080.708
8,Batch30:framenr_239_framevid_June09_01.jpeg,75.500,56.500,65.973
9,Batch30:framenr_239_framevid_June12_02.jpeg,83.500,61.500,53.407
10,Batch30:framenr_239_framevid_June16_02.jpeg,965.500,574.500,1046.150
11,Batch30:framenr_240_framevid_June09_01.jpeg,84.500,69.500,72.257
12,Batch30:framenr_240_framevid_June12_02.jpeg,75.000,38.000,31.416
13,Batch30:framenr_240_framevid_June16_02.jpeg,961.000,569.000,1080.708
14,Batch30:framenr_241_framevid_June09_01.jpeg,537.000,300.000,1332.035
15,Batch30:framenr_241_framevid_June12_02.jpeg,81.500,63.500,53.407
16,Batch30:framenr_241_framevid_June16_02.jpeg,943.500,566.500,1039.867
17,Batch30:framenr_242_framevid_June09_01.jpeg,523.000,333.000,1149.823
18,Batch30:framenr_242_framevid_June12_02.jpeg,83.000,59.000,62.832
19,Batch30:framenr_242_framevid_June16_02.jpeg,939.000,557.000,1030.442
20,Batch30:framenr_243_framevid_June09_01.jpeg,566.000,334.000,1306.903
21,Batch30:framenr_243_framevid_June12_02.jpeg,104.000,73.000,50.265
22,Batch30:framenr_243_framevid_June16_02.jpeg,950.000,556.000,1055.575
23,Batch30:framenr_244_framevid_June09_01.jpeg,558.500,337.500,1410.575
24,Batch30:framenr_244_framevid_June12_02.jpeg,94.500,56.500,53.407
25,Batch30:framenr_244_framevid_June16_02.jpeg,946.500,558.500,1014.734
26,Batch30:framenr_245_framevid_June09_01.jpeg,510.000,375.000,1401.150
27,Batch30:framenr_245_framevid_June12_02.jpeg,55.000,89.000,94.248
28,Batch30:framenr_245_framevid_June16_02.jpeg,942.500,562.500,970.752
29,Batch30:framenr_246_framevid_June09_01.jpeg,551.500,443.500,1266.062
30,Batch30:framenr_246_framevid_June12_02.jpeg,104.000,51.000,50.265
31,Batch30:framenr_246_framevid_June16_02.jpeg,961.000,554.000,1049.292
32,Batch30:framenr_247_framevid_June09_01.jpeg,588.500,463.500,1284.911
33,Batch30:framenr_247_framevid_June12_02.jpeg,75.500,54.500,47.124
34,Batch30:framenr_247_framevid_June16_02.jpeg,960.000,553.000,1036.726
35,Batch30:framenr_248_framevid_June09_01.jpeg,110.500,68.500,28.274
36,Batch30:framenr_248_framevid_June12_02.jpeg,107.000,84.000,87.965
37,Batch30:framenr_248_framevid_June16_02.jpeg,961.500,544.500,1039.867
38,Batch30:framenr_249_framevid_June09_01.jpeg,558.500,523.500,1247.212
39,Batch30:framenr_249_framevid_June12_02.jpeg,87.500,72.500,65.973
40,Batch30:framenr_249_framevid_June16_02.jpeg,968.000,548.000,1043.009
41,Batch30:framenr_250_framevid_June09_01.jpeg,76.000,61.000,31.416
42,Batch30:framenr_250_framevid_June12_02.jpeg,76.000,61.000,31.416
43,Batch30:framenr_250_framevid_June16_02.jpeg,970.000,547.000,1030.442
44,Batch30:framenr_251_framevid_June09_01.jpeg,667.000,626.000,1181.239
45,Batch30:framenr_251_framevid_June12_02.jpeg,92.000,63.000,50.265
46,Batch30:framenr_251_framevid_June16_02.jpeg,971.500,544.500,1052.434
47,Batch30:framenr_252_framevid_June09_01.jpeg,656.000,645.000,1168.672
48,Batch30:framenr_252_framevid_June12_02.jpeg,65.500,57.500,59.690
49,Batch30:framenr_252_framevid_June16_02.jpeg,979.000,543.000,1061.858
50,Batch30:framenr_253_framevid_June09_01.jpeg,669.000,678.000,1093.274
