,frame,roi_x1,roi_y1,roi_x2,roi_y2,x,y,r,name,alpha,beta,minDist,threh_div1,threh_div2,dilation,medianblur
0,1,0,0,1503,1056,460,712,85,framenr_1_framevid_June09_01,1,20,10000,6,10,6,27
1,2,0,0,1503,1056,1072,204,160,framenr_2_framevid_June09_01,1,20,10000,6,10,6,27
2,3,0,0,1503,1056,576,452,140,framenr_3_framevid_June09_01,1,20,10000,6,10,6,27
3,4,0,0,1503,1056,1016,366,237,framenr_4_framevid_June09_01,1,20,10000,6,10,6,27
4,5,0,0,1503,1056,1032,362,227,framenr_5_framevid_June09_01,1,20,10000,6,10,6,27
5,6,0,0,1503,1056,1086,706,176,framenr_6_framevid_June09_01,1,20,10000,6,10,6,27
6,7,0,0,1503,1056,728,404,268,framenr_7_framevid_June09_01,1,20,10000,6,10,6,27
7,8,0,0,1503,1056,1074,388,255,framenr_8_framevid_June09_01,1,20,10000,6,10,6,27
8,9,0,0,1503,1056,518,488,208,framenr_9_framevid_June09_01,1,20,10000,6,10,6,27
9,10,0,0,1503,1056,778,898,207,framenr_10_framevid_June09_01,1,20,10000,6,10,6,27
10,11,0,0,1503,1056,1124,286,121,framenr_11_framevid_June09_01,1,20,10000,6,10,6,27
11,12,0,0,1503,1056,626,424,170,framenr_12_framevid_June09_01,1,20,10000,6,10,6,27
12,13,0,0,1503,1056,516,504,218,framenr_13_framevid_June09_01,1,20,10000,6,10,6,27
13,14,0,0,1503,1056,866,426,232,framenr_14_framevid_June09_01,1,20,10000,6,10,6,27
14,15,0,0,1503,1056,496,498,228,framenr_15_framevid_June09_01,1,20,10000,6,10,6,27
15,16,0,0,1503,1056,700,956,170,framenr_16_framevid_June09_01,1,20,10000,6,10,6,27
16,17,0,0,1503,1056,656,462,214,framenr_17_framevid_June09_01,1,20,10000,6,10,6,27
17,18,0,0,1503,1056,676,428,265,framenr_18_framevid_June09_01,1,20,10000,6,10,6,27
18,19,0,0,1503,1056,1300,612,214,framenr_19_framevid_June09_01,1,20,10000,6,10,6,27
19,20,0,0,1503,1056,1098,676,244,framenr_20_framevid_June09_01,1,20,10000,6,10,6,27
20,21,0,0,1503,1056,616,792,263,framenr_21_framevid_June09_01,1,20,10000,6,10,6,27
21,22,0,0,1503,1056,580,448,177,framenr_22_framevid_June09_01,1,20,10000,6,10,6,27
