,frame,roi_x1,roi_y1,roi_x2,roi_y2,x,y,r,name,alpha,beta,minDist,threh_div1,threh_div2,dilation,medianblur
0,1,773,302,707,597,1071,472,117,framenr_1_framevid_June12_01,1.5,40,10000,6,15,3,27
1,2,773,302,707,597,1063,464,104,framenr_2_framevid_June12_01,1.5,40,10000,6,15,3,27
2,3,773,302,707,597,1117,526,200,framenr_3_framevid_June12_01,1.5,40,10000,6,15,3,27
3,4,773,302,707,597,1353,536,126,framenr_4_framevid_June12_01,1.5,40,10000,6,15,3,27
4,5,773,302,707,597,977,548,48,framenr_5_framevid_June12_01,1.5,40,10000,6,15,3,27
5,6,773,302,707,597,1065,562,40,framenr_6_framevid_June12_01,1.5,40,10000,6,15,3,27
6,7,773,302,707,597,1191,562,263,framenr_7_framevid_June12_01,1.5,40,10000,6,15,3,27
7,8,773,302,707,597,1027,562,104,framenr_8_framevid_June12_01,1.5,40,10000,6,15,3,27
8,9,773,302,707,597,1189,560,263,framenr_9_framevid_June12_01,1.5,40,10000,6,15,3,27
9,10,773,302,707,597,1191,558,266,framenr_10_framevid_June12_01,1.5,40,10000,6,15,3,27
10,11,773,302,707,597,1053,538,135,framenr_11_framevid_June12_01,1.5,40,10000,6,15,3,27
11,12,773,302,707,597,1075,536,151,framenr_12_framevid_June12_01,1.5,40,10000,6,15,3,27
12,13,773,302,707,597,1071,536,146,framenr_13_framevid_June12_01,1.5,40,10000,6,15,3,27
13,14,773,302,707,597,1073,532,146,framenr_14_framevid_June12_01,1.5,40,10000,6,15,3,27
14,15,773,302,707,597,1079,528,154,framenr_15_framevid_June12_01,1.5,40,10000,6,15,3,27
15,16,773,302,707,597,1069,432,115,framenr_16_framevid_June12_01,1.5,40,10000,6,15,3,27
16,17,773,302,707,597,1077,530,153,framenr_17_framevid_June12_01,1.5,40,10000,6,15,3,27
17,18,773,302,707,597,1077,534,151,framenr_18_framevid_June12_01,1.5,40,10000,6,15,3,27
18,19,773,302,707,597,1475,808,114,framenr_19_framevid_June12_01,1.5,40,10000,6,15,3,27
19,20,773,302,707,597,1059,550,41,framenr_20_framevid_June12_01,1.5,40,10000,6,15,3,27
20,21,773,302,707,597,1059,554,41,framenr_21_framevid_June12_01,1.5,40,10000,6,15,3,27
21,22,773,302,707,597,1207,482,253,framenr_22_framevid_June12_01,1.5,40,10000,6,15,3,27
22,23,773,302,707,597,1065,464,106,framenr_23_framevid_June12_01,1.5,40,10000,6,15,3,27
23,24,773,302,707,597,1083,476,122,framenr_24_framevid_June12_01,1.5,40,10000,6,15,3,27
24,25,773,302,707,597,1249,398,116,framenr_25_framevid_June12_01,1.5,40,10000,6,15,3,27
25,26,773,302,707,597,1075,478,109,framenr_26_framevid_June12_01,1.5,40,10000,6,15,3,27
26,27,773,302,707,597,1083,474,115,framenr_27_framevid_June12_01,1.5,40,10000,6,15,3,27
27,28,773,302,707,597,1075,470,102,framenr_28_framevid_June12_01,1.5,40,10000,6,15,3,27
28,29,773,302,707,597,1083,488,112,framenr_29_framevid_June12_01,1.5,40,10000,6,15,3,27
29,30,773,302,707,597,1055,544,238,framenr_30_framevid_June12_01,1.5,40,10000,6,15,3,27
30,31,773,302,707,597,1103,484,121,framenr_31_framevid_June12_01,1.5,40,10000,6,15,3,27
31,32,773,302,707,597,1121,486,136,framenr_32_framevid_June12_01,1.5,40,10000,6,15,3,27
32,33,773,302,707,597,1069,552,224,framenr_33_framevid_June12_01,1.5,40,10000,6,15,3,27
33,34,773,302,707,597,1067,576,114,framenr_34_framevid_June12_01,1.5,40,10000,6,15,3,27
34,35,773,302,707,597,1151,482,135,framenr_35_framevid_June12_01,1.5,40,10000,6,15,3,27
35,36,773,302,707,597,1173,476,144,framenr_36_framevid_June12_01,1.5,40,10000,6,15,3,27
36,37,773,302,707,597,1259,464,215,framenr_37_framevid_June12_01,1.5,40,10000,6,15,3,27
37,38,773,302,707,597,1039,450,165,framenr_38_framevid_June12_01,1.5,40,10000,6,15,3,27
38,39,773,302,707,597,1247,474,230,framenr_39_framevid_June12_01,1.5,40,10000,6,15,3,27
39,40,773,302,707,597,989,432,220,framenr_40_framevid_June12_01,1.5,40,10000,6,15,3,27
40,41,773,302,707,597,1051,458,159,framenr_41_framevid_June12_01,1.5,40,10000,6,15,3,27
41,42,773,302,707,597,1021,514,152,framenr_42_framevid_June12_01,1.5,40,10000,6,15,3,27
42,43,773,302,707,597,1027,420,187,framenr_43_framevid_June12_01,1.5,40,10000,6,15,3,27
43,44,773,302,707,597,1261,520,185,framenr_44_framevid_June12_01,1.5,40,10000,6,15,3,27
44,45,773,302,707,597,1175,508,165,framenr_45_framevid_June12_01,1.5,40,10000,6,15,3,27
45,46,773,302,707,597,1185,566,124,framenr_46_framevid_June12_01,1.5,40,10000,6,15,3,27
