,frame,x,y,r,name,sample_rate,examplenr
0,1,640,780,255,framenr_1_framevid_June09_01,25.0,exp5
1,2,610,338,176,framenr_2_framevid_June09_01,25.0,exp5
2,3,788,328,258,framenr_3_framevid_June09_01,25.0,exp5
3,4,1072,448,188,framenr_4_framevid_June09_01,25.0,exp5
4,5,586,500,146,framenr_5_framevid_June09_01,25.0,exp5
5,6,824,388,208,framenr_6_framevid_June09_01,25.0,exp5
6,7,724,318,168,framenr_7_framevid_June09_01,25.0,exp5
7,8,770,888,202,framenr_8_framevid_June09_01,25.0,exp5
8,9,674,288,242,framenr_9_framevid_June09_01,25.0,exp5
9,10,764,894,195,framenr_10_framevid_June09_01,25.0,exp5
10,11,1180,774,130,framenr_11_framevid_June09_01,25.0,exp5
11,12,1032,376,236,framenr_12_framevid_June09_01,25.0,exp5
12,13,656,502,220,framenr_13_framevid_June09_01,25.0,exp5
13,14,650,304,246,framenr_14_framevid_June09_01,25.0,exp5
14,15,710,414,252,framenr_15_framevid_June09_01,25.0,exp5
15,16,656,450,216,framenr_16_framevid_June09_01,25.0,exp5
16,17,764,484,258,framenr_17_framevid_June09_01,25.0,exp5
17,18,696,418,245,framenr_18_framevid_June09_01,25.0,exp5
18,19,692,414,243,framenr_19_framevid_June09_01,25.0,exp5
19,20,978,488,243,framenr_20_framevid_June09_01,25.0,exp5
20,21,676,432,248,framenr_21_framevid_June09_01,25.0,exp5
21,22,974,360,210,framenr_22_framevid_June09_01,25.0,exp5
22,23,682,442,255,framenr_23_framevid_June09_01,25.0,exp5
23,24,1020,336,268,framenr_24_framevid_June09_01,25.0,exp5
24,25,1024,348,269,framenr_25_framevid_June09_01,25.0,exp5
25,26,670,460,244,framenr_26_framevid_June09_01,25.0,exp5
26,27,672,460,268,framenr_27_framevid_June09_01,25.0,exp5
27,28,1196,640,254,framenr_28_framevid_June09_01,25.0,exp5
28,29,648,468,230,framenr_29_framevid_June09_01,25.0,exp5
29,30,1028,408,172,framenr_30_framevid_June09_01,25.0,exp5
30,31,650,338,261,framenr_31_framevid_June09_01,25.0,exp5
31,32,1056,494,182,framenr_32_framevid_June09_01,25.0,exp5
32,33,1050,464,225,framenr_33_framevid_June09_01,25.0,exp5
33,34,1262,686,268,framenr_34_framevid_June09_01,25.0,exp5
34,35,948,488,253,framenr_35_framevid_June09_01,25.0,exp5
35,36,988,452,260,framenr_36_framevid_June09_01,25.0,exp5
36,37,978,584,148,framenr_37_framevid_June09_01,25.0,exp5
37,38,966,572,154,framenr_38_framevid_June09_01,25.0,exp5
38,39,614,490,250,framenr_39_framevid_June09_01,25.0,exp5
39,40,744,364,153,framenr_40_framevid_June09_01,25.0,exp5
40,41,644,580,246,framenr_41_framevid_June09_01,25.0,exp5
41,42,694,430,262,framenr_42_framevid_June09_01,25.0,exp5
42,43,532,260,256,framenr_43_framevid_June09_01,25.0,exp5
43,44,904,606,165,framenr_44_framevid_June09_01,25.0,exp5
44,45,750,484,192,framenr_45_framevid_June09_01,25.0,exp5
45,46,704,466,214,framenr_46_framevid_June09_01,25.0,exp5
46,47,674,388,235,framenr_47_framevid_June09_01,25.0,exp5
47,48,564,258,253,framenr_48_framevid_June09_01,25.0,exp5
48,49,938,608,123,framenr_49_framevid_June09_01,25.0,exp5
49,50,658,548,262,framenr_50_framevid_June09_01,25.0,exp5
50,51,950,608,162,framenr_51_framevid_June09_01,25.0,exp5
51,52,936,614,225,framenr_52_framevid_June09_01,25.0,exp5
52,53,1080,506,268,framenr_53_framevid_June09_01,25.0,exp5
53,54,862,772,225,framenr_54_framevid_June09_01,25.0,exp5
54,55,958,588,137,framenr_55_framevid_June09_01,25.0,exp5
55,56,600,532,260,framenr_56_framevid_June09_01,25.0,exp5
56,57,526,244,256,framenr_57_framevid_June09_01,25.0,exp5
57,58,964,580,147,framenr_58_framevid_June09_01,25.0,exp5
58,59,932,590,116,framenr_59_framevid_June09_01,25.0,exp5
59,60,792,462,232,framenr_60_framevid_June09_01,25.0,exp5
60,61,996,558,165,framenr_61_framevid_June09_01,25.0,exp5
61,62,918,574,245,framenr_62_framevid_June09_01,25.0,exp5
62,63,898,562,241,framenr_63_framevid_June09_01,25.0,exp5
63,64,980,530,209,framenr_64_framevid_June09_01,25.0,exp5
64,65,544,712,213,framenr_65_framevid_June09_01,25.0,exp5
65,66,968,528,215,framenr_66_framevid_June09_01,25.0,exp5
66,67,940,544,213,framenr_67_framevid_June09_01,25.0,exp5
67,68,894,548,130,framenr_68_framevid_June09_01,25.0,exp5
68,69,936,534,185,framenr_69_framevid_June09_01,25.0,exp5
69,70,868,560,130,framenr_70_framevid_June09_01,25.0,exp5
70,71,896,528,200,framenr_71_framevid_June09_01,25.0,exp5
71,72,876,560,151,framenr_72_framevid_June09_01,25.0,exp5
72,73,912,460,202,framenr_73_framevid_June09_01,25.0,exp5
73,74,424,318,241,framenr_74_framevid_June09_01,25.0,exp5
74,75,492,480,255,framenr_75_framevid_June09_01,25.0,exp5
75,76,634,470,205,framenr_76_framevid_June09_01,25.0,exp5
76,77,1006,624,250,framenr_77_framevid_June09_01,25.0,exp5
77,78,942,600,172,framenr_78_framevid_June09_01,25.0,exp5
78,79,634,616,246,framenr_79_framevid_June09_01,25.0,exp5
79,80,456,230,208,framenr_80_framevid_June09_01,25.0,exp5
80,81,934,602,195,framenr_81_framevid_June09_01,25.0,exp5
81,82,534,504,253,framenr_82_framevid_June09_01,25.0,exp5
82,83,522,732,210,framenr_83_framevid_June09_01,25.0,exp5
83,84,874,816,255,framenr_84_framevid_June09_01,25.0,exp5
84,85,474,614,193,framenr_85_framevid_June09_01,25.0,exp5
85,86,1118,792,245,framenr_86_framevid_June09_01,25.0,exp5
86,87,812,552,182,framenr_87_framevid_June09_01,25.0,exp5
87,88,852,816,269,framenr_88_framevid_June09_01,25.0,exp5
88,89,876,472,227,framenr_89_framevid_June09_01,25.0,exp5
89,90,558,592,234,framenr_90_framevid_June09_01,25.0,exp5
90,91,866,498,216,framenr_91_framevid_June09_01,25.0,exp5
91,92,1036,376,248,framenr_92_framevid_June09_01,25.0,exp5
92,93,438,286,258,framenr_93_framevid_June09_01,25.0,exp5
93,94,516,696,248,framenr_94_framevid_June09_01,25.0,exp5
94,95,646,626,221,framenr_95_framevid_June09_01,25.0,exp5
