"X.1","Label","X","Y","Perim.","name","radius_man"
1,"Batch11:framenr_52_framevid_June09_03.jpeg",441,412,1294.336,"framenr_52_framevid_June09_03",206
2,"Batch11:framenr_52_framevid_June12_02.jpeg",84.5,62.5,34.558,"framenr_52_framevid_June12_02",6
3,"Batch11:framenr_52_framevid_June12_03.jpeg",84.5,62.5,34.558,"framenr_52_framevid_June12_03",6
4,"Batch11:framenr_52_framevid_June16_02.jpeg",1045.5,830.5,914.203,"framenr_52_framevid_June16_02",145
5,"Batch11:framenr_52_framevid_June16_07.jpeg",1056,561,1237.788,"framenr_52_framevid_June16_07",197
6,"Batch11:framenr_52_framevid_June16_20.jpeg",913.5,530.5,1052.434,"framenr_52_framevid_June16_20",168
7,"Batch11:framenr_53_framevid_June09_01.jpeg",1002,549,1143.54,"framenr_53_framevid_June09_01",182
8,"Batch11:framenr_53_framevid_June09_02.jpeg",776,603,1463.982,"framenr_53_framevid_June09_02",233
9,"Batch11:framenr_53_framevid_June09_03.jpeg",408,401,1332.035,"framenr_53_framevid_June09_03",212
10,"Batch11:framenr_53_framevid_June12_02.jpeg",107.5,72.5,65.973,"framenr_53_framevid_June12_02",10
11,"Batch11:framenr_53_framevid_June12_03.jpeg",107.5,72.5,65.973,"framenr_53_framevid_June12_03",10
12,"Batch11:framenr_53_framevid_June16_02.jpeg",1040.5,839.5,914.203,"framenr_53_framevid_June16_02",145
13,"Batch11:framenr_53_framevid_June16_07.jpeg",1059.5,548.5,1240.929,"framenr_53_framevid_June16_07",197
14,"Batch11:framenr_53_framevid_June16_20.jpeg",908,508,1137.257,"framenr_53_framevid_June16_20",181
15,"Batch11:framenr_54_framevid_June09_01.jpeg",998.5,537.5,1159.248,"framenr_54_framevid_June09_01",185
16,"Batch11:framenr_54_framevid_June09_02.jpeg",783.5,603.5,1473.407,"framenr_54_framevid_June09_02",235
17,"Batch11:framenr_54_framevid_June09_03.jpeg",383.5,385.5,1416.858,"framenr_54_framevid_June09_03",225
18,"Batch11:framenr_54_framevid_June12_02.jpeg",79,49,31.416,"framenr_54_framevid_June12_02",5
19,"Batch11:framenr_54_framevid_June12_03.jpeg",79,49,31.416,"framenr_54_framevid_June12_03",5
20,"Batch11:framenr_54_framevid_June16_02.jpeg",1043,841,948.761,"framenr_54_framevid_June16_02",151
21,"Batch11:framenr_54_framevid_June16_07.jpeg",1070.5,536.5,1316.327,"framenr_54_framevid_June16_07",209
22,"Batch11:framenr_54_framevid_June16_20.jpeg",899,496,1130.973,"framenr_54_framevid_June16_20",180
23,"Batch11:framenr_55_framevid_June09_01.jpeg",988.5,528.5,1184.38,"framenr_55_framevid_June09_01",188
24,"Batch11:framenr_55_framevid_June09_02.jpeg",782,613,1388.584,"framenr_55_framevid_June09_02",221
25,"Batch11:framenr_55_framevid_June09_03.jpeg",405,425,1558.23,"framenr_55_framevid_June09_03",248
26,"Batch11:framenr_55_framevid_June12_02.jpeg",91.5,46.5,65.973,"framenr_55_framevid_June12_02",10
27,"Batch11:framenr_55_framevid_June12_03.jpeg",91.5,46.5,65.973,"framenr_55_framevid_June12_03",10
28,"Batch11:framenr_55_framevid_June16_02.jpeg",1037.5,845.5,926.77,"framenr_55_framevid_June16_02",148
29,"Batch11:framenr_55_framevid_June16_07.jpeg",1056.5,548.5,1228.363,"framenr_55_framevid_June16_07",196
30,"Batch11:framenr_55_framevid_June16_20.jpeg",885.5,493.5,1184.38,"framenr_55_framevid_June16_20",188
31,"Batch11:framenr_56_framevid_June09_01.jpeg",994,536,1143.54,"framenr_56_framevid_June09_01",182
32,"Batch11:framenr_56_framevid_June09_02.jpeg",797,606,1413.717,"framenr_56_framevid_June09_02",225
33,"Batch11:framenr_56_framevid_June09_03.jpeg",385.5,476.5,1391.726,"framenr_56_framevid_June09_03",222
34,"Batch11:framenr_56_framevid_June12_02.jpeg",111.5,71.5,53.407,"framenr_56_framevid_June12_02",8
35,"Batch11:framenr_56_framevid_June12_03.jpeg",111.5,71.5,53.407,"framenr_56_framevid_June12_03",8
36,"Batch11:framenr_56_framevid_June16_02.jpeg",1055,831,1049.292,"framenr_56_framevid_June16_02",167
37,"Batch11:framenr_56_framevid_June16_07.jpeg",1053.5,552.5,1203.23,"framenr_56_framevid_June16_07",192
38,"Batch11:framenr_56_framevid_June16_20.jpeg",866,519,1112.124,"framenr_56_framevid_June16_20",177
39,"Batch11:framenr_57_framevid_June09_01.jpeg",986.5,535.5,1165.531,"framenr_57_framevid_June09_01",186
40,"Batch11:framenr_57_framevid_June09_02.jpeg",799,614,1394.867,"framenr_57_framevid_June09_02",222
41,"Batch11:framenr_57_framevid_June09_03.jpeg",382,542,1300.619,"framenr_57_framevid_June09_03",207
42,"Batch11:framenr_57_framevid_June12_02.jpeg",89,43,43.982,"framenr_57_framevid_June12_02",7
43,"Batch11:framenr_57_framevid_June12_03.jpeg",89,43,43.982,"framenr_57_framevid_June12_03",7
44,"Batch11:framenr_57_framevid_June16_02.jpeg",1053,825,1024.159,"framenr_57_framevid_June16_02",163
45,"Batch11:framenr_57_framevid_June16_07.jpeg",1058.5,538.5,1272.345,"framenr_57_framevid_June16_07",202
46,"Batch11:framenr_57_framevid_June16_20.jpeg",872.5,506.5,1278.628,"framenr_57_framevid_June16_20",203
47,"Batch11:framenr_58_framevid_June09_01.jpeg",978.5,524.5,1196.947,"framenr_58_framevid_June09_01",191
48,"Batch11:framenr_58_framevid_June09_02.jpeg",809.5,605.5,1448.274,"framenr_58_framevid_June09_02",230
49,"Batch11:framenr_58_framevid_June09_03.jpeg",336,617,1325.752,"framenr_58_framevid_June09_03",211
50,"Batch11:framenr_58_framevid_June12_02.jpeg",100.5,56.5,40.841,"framenr_58_framevid_June12_02",7
1,"Batch12:framenr_58_framevid_June12_03.jpeg",108,97,56.549,"framenr_58_framevid_June12_03",9
2,"Batch12:framenr_58_framevid_June16_02.jpeg",1035,837,860.796,"framenr_58_framevid_June16_02",137
3,"Batch12:framenr_58_framevid_June16_07.jpeg",1048,553,1168.672,"framenr_58_framevid_June16_07",186
4,"Batch12:framenr_58_framevid_June16_20.jpeg",872.5,512.5,1366.593,"framenr_58_framevid_June16_20",218
5,"Batch12:framenr_59_framevid_June09_01.jpeg",991,543,1105.841,"framenr_59_framevid_June09_01",176
6,"Batch12:framenr_59_framevid_June09_02.jpeg",811.5,610.5,1416.858,"framenr_59_framevid_June09_02",225
7,"Batch12:framenr_59_framevid_June09_03.jpeg",107,52,62.832,"framenr_59_framevid_June09_03",10
8,"Batch12:framenr_59_framevid_June12_02.jpeg",107,52,62.832,"framenr_59_framevid_June12_02",10
9,"Batch12:framenr_59_framevid_June12_03.jpeg",107,52,62.832,"framenr_59_framevid_June12_03",10
10,"Batch12:framenr_59_framevid_June16_02.jpeg",1041,820,911.062,"framenr_59_framevid_June16_02",145
11,"Batch12:framenr_59_framevid_June16_07.jpeg",1056.5,535.5,1272.345,"framenr_59_framevid_June16_07",202
12,"Batch12:framenr_59_framevid_June16_20.jpeg",856.5,518.5,1366.593,"framenr_59_framevid_June16_20",218
13,"Batch12:framenr_60_framevid_June09_01.jpeg",986,531,1156.106,"framenr_60_framevid_June09_01",184
14,"Batch12:framenr_60_framevid_June09_02.jpeg",805.5,606.5,1404.292,"framenr_60_framevid_June09_02",224
15,"Batch12:framenr_60_framevid_June09_03.jpeg",102,61,31.416,"framenr_60_framevid_June09_03",5
16,"Batch12:framenr_60_framevid_June12_02.jpeg",102,61,31.416,"framenr_60_framevid_June12_02",5
17,"Batch12:framenr_60_framevid_June12_03.jpeg",102,61,31.416,"framenr_60_framevid_June12_03",5
18,"Batch12:framenr_60_framevid_June16_02.jpeg",1042,808,854.513,"framenr_60_framevid_June16_02",136
19,"Batch12:framenr_60_framevid_June16_07.jpeg",1053.5,543.5,1240.929,"framenr_60_framevid_June16_07",197
20,"Batch12:framenr_60_framevid_June16_20.jpeg",860.5,532.5,1322.611,"framenr_60_framevid_June16_20",211
21,"Batch12:framenr_61_framevid_June09_01.jpeg",979.5,527.5,1159.248,"framenr_61_framevid_June09_01",185
22,"Batch12:framenr_61_framevid_June09_02.jpeg",809,597,1413.717,"framenr_61_framevid_June09_02",225
23,"Batch12:framenr_61_framevid_June12_02.jpeg",83,49,31.416,"framenr_61_framevid_June12_02",5
24,"Batch12:framenr_61_framevid_June12_03.jpeg",83,49,31.416,"framenr_61_framevid_June12_03",5
25,"Batch12:framenr_61_framevid_June16_02.jpeg",1051,778,911.062,"framenr_61_framevid_June16_02",145
26,"Batch12:framenr_61_framevid_June16_07.jpeg",1038,546,1162.389,"framenr_61_framevid_June16_07",185
27,"Batch12:framenr_61_framevid_June16_20.jpeg",858,511,1457.699,"framenr_61_framevid_June16_20",232
28,"Batch12:framenr_62_framevid_June09_01.jpeg",948,511,1313.186,"framenr_62_framevid_June09_01",209
29,"Batch12:framenr_62_framevid_June09_02.jpeg",807,595,1407.434,"framenr_62_framevid_June09_02",224
30,"Batch12:framenr_62_framevid_June12_02.jpeg",77,46,31.416,"framenr_62_framevid_June12_02",5
31,"Batch12:framenr_62_framevid_June12_03.jpeg",77,46,31.416,"framenr_62_framevid_June12_03",5
32,"Batch12:framenr_62_framevid_June16_02.jpeg",1040.5,729.5,951.903,"framenr_62_framevid_June16_02",152
33,"Batch12:framenr_62_framevid_June16_07.jpeg",1037,543,1156.106,"framenr_62_framevid_June16_07",184
34,"Batch12:framenr_62_framevid_June16_20.jpeg",847.5,535.5,1360.31,"framenr_62_framevid_June16_20",217
35,"Batch12:framenr_63_framevid_June09_01.jpeg",940.5,514.5,1322.611,"framenr_63_framevid_June09_01",211
36,"Batch12:framenr_63_framevid_June09_02.jpeg",821,570,1539.38,"framenr_63_framevid_June09_02",245
37,"Batch12:framenr_63_framevid_June12_02.jpeg",123.5,78.5,84.823,"framenr_63_framevid_June12_02",13
38,"Batch12:framenr_63_framevid_June12_03.jpeg",123.5,78.5,84.823,"framenr_63_framevid_June12_03",13
39,"Batch12:framenr_63_framevid_June16_02.jpeg",1029,713,911.062,"framenr_63_framevid_June16_02",145
40,"Batch12:framenr_63_framevid_June16_07.jpeg",1050.5,529.5,1247.212,"framenr_63_framevid_June16_07",198
41,"Batch12:framenr_63_framevid_June16_20.jpeg",862.5,521.5,1504.823,"framenr_63_framevid_June16_20",240
42,"Batch12:framenr_64_framevid_June09_01.jpeg",943,492,1369.734,"framenr_64_framevid_June09_01",218
43,"Batch12:framenr_64_framevid_June09_02.jpeg",816.5,584.5,1423.141,"framenr_64_framevid_June09_02",226
44,"Batch12:framenr_64_framevid_June12_02.jpeg",119.5,52.5,21.991,"framenr_64_framevid_June12_02",3
45,"Batch12:framenr_64_framevid_June12_03.jpeg",119.5,52.5,21.991,"framenr_64_framevid_June12_03",3
46,"Batch12:framenr_64_framevid_June16_02.jpeg",1034.5,704.5,901.637,"framenr_64_framevid_June16_02",143
47,"Batch12:framenr_64_framevid_June16_07.jpeg",1047,537,1174.956,"framenr_64_framevid_June16_07",187
48,"Batch12:framenr_64_framevid_June16_20.jpeg",851.5,530.5,1473.407,"framenr_64_framevid_June16_20",235
49,"Batch12:framenr_65_framevid_June09_01.jpeg",929,493,1338.318,"framenr_65_framevid_June09_01",213
50,"Batch12:framenr_65_framevid_June09_02.jpeg",824,567,1520.531,"framenr_65_framevid_June09_02",242
1,"Batch13:framenr_65_framevid_June12_02.jpeg",76.5,42.5,28.274,"framenr_65_framevid_June12_02",4
2,"Batch13:framenr_65_framevid_June12_03.jpeg",76.5,42.5,28.274,"framenr_65_framevid_June12_03",4
3,"Batch13:framenr_65_framevid_June16_02.jpeg",1055.5,714.5,945.619,"framenr_65_framevid_June16_02",150
4,"Batch13:framenr_65_framevid_June16_07.jpeg",1049,529,1212.655,"framenr_65_framevid_June16_07",193
5,"Batch13:framenr_65_framevid_June16_20.jpeg",859.5,532.5,1517.389,"framenr_65_framevid_June16_20",241
6,"Batch13:framenr_66_framevid_June09_01.jpeg",912,507,1382.301,"framenr_66_framevid_June09_01",220
7,"Batch13:framenr_66_framevid_June09_02.jpeg",806,579,1394.867,"framenr_66_framevid_June09_02",222
8,"Batch13:framenr_66_framevid_June12_02.jpeg",94,43,56.549,"framenr_66_framevid_June12_02",9
9,"Batch13:framenr_66_framevid_June12_03.jpeg",94,43,56.549,"framenr_66_framevid_June12_03",9
10,"Batch13:framenr_66_framevid_June16_02.jpeg",1056,715,942.478,"framenr_66_framevid_June16_02",150
11,"Batch13:framenr_66_framevid_June16_07.jpeg",1054.5,525.5,1240.929,"framenr_66_framevid_June16_07",197
12,"Batch13:framenr_66_framevid_June16_20.jpeg",860,542,1482.832,"framenr_66_framevid_June16_20",236
13,"Batch13:framenr_67_framevid_June09_01.jpeg",904,506,1388.584,"framenr_67_framevid_June09_01",221
14,"Batch13:framenr_67_framevid_June09_02.jpeg",816,567,1470.265,"framenr_67_framevid_June09_02",234
15,"Batch13:framenr_67_framevid_June12_02.jpeg",100.5,66.5,21.991,"framenr_67_framevid_June12_02",3
