,frame,x,y,r,name,sample_rate
0,1,898,670,216,framenr_1_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
1,2,898,670,216,framenr_2_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
2,3,820,910,27,framenr_3_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
3,4,820,910,27,framenr_4_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
4,5,820,910,27,framenr_5_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
5,6,820,910,27,framenr_6_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
6,7,330,368,20,framenr_7_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
7,8,330,368,20,framenr_8_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
8,9,330,368,20,framenr_9_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
9,10,330,368,20,framenr_10_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
10,11,330,368,20,framenr_11_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
11,12,330,368,20,framenr_12_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
12,13,330,368,20,framenr_13_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
13,14,330,368,20,framenr_14_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
14,15,330,368,20,framenr_15_framevid__Opp_June_15_Session_1_zoom_syncedboom_2_2_Pelangi,25.0
