,frame,x,y,r,name,sample_rate
0,1,1258,506,116,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
1,2,1162,736,210,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
2,3,1472,900,72,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
3,4,1146,120,222,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
4,5,1272,504,102,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
5,6,1234,518,139,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
6,7,1324,562,104,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
7,8,1324,566,105,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
8,9,1348,702,77,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
9,10,1358,888,190,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
10,11,1160,852,181,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
11,12,1166,266,155,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
12,13,1238,514,135,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
13,14,1312,886,188,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
14,15,1158,258,161,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
15,16,1236,516,139,framenr_16_framevid__Opp_June_16_Session_1_zoom_syncedboom_44_7_10_fajar,25.0
