,frame,x,y,r,name,sample_rate
0,1,630,988,121,framenr_1_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
1,2,1110,526,241,framenr_2_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
2,3,1102,552,229,framenr_3_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
3,4,1100,550,226,framenr_4_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
4,5,1188,172,173,framenr_5_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
5,6,1080,564,208,framenr_6_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
6,7,1216,124,222,framenr_7_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
7,8,772,888,245,framenr_8_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
8,9,1218,128,213,framenr_9_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
9,10,1100,550,232,framenr_10_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
10,11,764,884,242,framenr_11_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
11,12,764,882,240,framenr_12_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
12,13,762,878,238,framenr_13_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
13,14,1104,554,235,framenr_14_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
14,15,756,842,220,framenr_15_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
15,16,1218,112,223,framenr_16_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
16,17,1104,552,236,framenr_17_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
17,18,1102,552,236,framenr_18_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
18,19,1226,132,212,framenr_19_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
19,20,1062,580,184,framenr_20_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
20,21,1228,128,212,framenr_21_framevid__Opp_August_18_Session_1_zoom_syncedboom_9_4_4_Roger,50.0
