,x,y,r,inputfile
0,1077.0998300339718,833.9109115634137,231.00050915156567,framenr_1_framevid_example9
1,1068.3190037640682,807.2752230312855,235.12910594129343,framenr_2_framevid_example9
2,1062.2578720024585,784.1390352514832,240.5207394196766,framenr_3_framevid_example9
3,1060.4067288769086,767.1891698354211,247.64072224648584,framenr_4_framevid_example9
4,1062.2966549230525,757.8299361177797,255.70517962348094,framenr_5_framevid_example9
5,1065.8199284441475,755.9447954307165,262.83595385101324,framenr_6_framevid_example9
6,1068.3468810374789,759.9307617575231,266.786990562672,framenr_7_framevid_example9
7,1068.032529031738,766.9435850701864,265.95526376983514,framenr_8_framevid_example9
8,1064.6216536095146,773.3222336599035,260.2324883631377,framenr_9_framevid_example9
9,1059.3495003875603,775.2183048418564,251.28187064007642,framenr_10_framevid_example9
10,1054.038427868847,769.4523935390705,242.04795782742852,framenr_11_framevid_example9
11,1049.9336804032273,754.5036693443988,235.64822124324965,framenr_12_framevid_example9
12,1046.961225095911,731.3515482253235,234.10400588985223,framenr_13_framevid_example9
13,1043.8486945913232,703.7561521386785,237.49011868339312,framenr_14_framevid_example9
14,1039.0565854676806,677.6257925497547,243.93248913439263,framenr_15_framevid_example9
15,1031.99068162564,659.4247987673093,250.50535779799546,framenr_16_framevid_example9
16,1023.7733019282223,654.0245451829398,254.64038391597944,framenr_17_framevid_example9
17,1017.0568773772263,662.7747695904279,255.37878983033158,framenr_18_framevid_example9
18,1014.8703048929453,682.6427089104658,253.83435146154704,framenr_19_framevid_example9
19,1019.0317463981642,706.9329426409776,252.59855871615778,framenr_20_framevid_example9
20,1028.9479349780056,727.4661677804208,254.3465964690478,framenr_21_framevid_example9
21,1041.4839258643474,737.4402172685063,260.33035894983027,framenr_22_framevid_example9
22,1052.0813461905443,733.8421776195785,269.54136371068023,framenr_23_framevid_example9
23,1056.6761852512177,718.4207929635428,279.020167063553,framenr_24_framevid_example9
24,1053.5379468715548,696.8222180693533,285.2167312560289,framenr_25_framevid_example9
25,1044.1458550847121,676.2738743040878,285.7541563719766,framenr_26_framevid_example9
26,1032.6492008831667,662.8090025807652,280.7068516867216,framenr_27_framevid_example9
27,1024.1217481034973,659.1800896431184,272.71396327071005,framenr_28_framevid_example9
28,1022.3907512329813,664.2536053496583,265.8183925758406,framenr_29_framevid_example9
29,1028.4209865293656,673.9951415150412,263.5673571217198,framenr_30_framevid_example9
30,1039.968549758655,683.4716158399915,267.29968471417027,framenr_31_framevid_example9
31,1052.6221153912604,688.9241005669626,275.47062718541025,framenr_32_framevid_example9
32,1061.7135916246334,689.0435078106844,284.35678096039675,framenr_33_framevid_example9
33,1064.209434069011,685.0329532708587,289.79727627835314,framenr_34_framevid_example9
34,1059.7541745211374,679.620958318335,289.11320726251074,framenr_35_framevid_example9
35,1050.4808366448315,675.6201857907469,282.26844385931065,framenr_36_framevid_example9
36,1039.7986536518333,674.7294400118747,271.72979318238373,framenr_37_framevid_example9
37,1030.8244776204265,677.0486183318582,261.14663004291515,framenr_38_framevid_example9
38,1025.2306197107182,681.369667024006,253.55705670292485,framenr_39_framevid_example9
39,1023.0086884012356,685.9388660053133,250.0398396194702,framenr_40_framevid_example9
40,1023.1513583814607,689.2272780737736,249.46755891622206,framenr_41_framevid_example9
41,1024.7871842446202,690.3432926830437,249.4236173416165,framenr_42_framevid_example9
42,1028.0947405406769,688.9879978887327,247.73883759569281,framenr_43_framevid_example9
43,1034.462902409728,685.1296288543925,243.79802999554815,framenr_44_framevid_example9
44,1045.7725968785526,678.7096742009708,238.91502313012467,framenr_45_framevid_example9
45,1063.1445090070665,669.6293068755915,235.5882129678934,framenr_46_framevid_example9
46,1085.7970825610885,658.0510582647223,236.0506152704901,framenr_47_framevid_example9
47,1110.6456749651986,644.8161451403699,240.9012388647253,framenr_48_framevid_example9
48,1132.9524202839186,631.6595520699254,248.5572726167229,framenr_49_framevid_example9
49,1147.8550953282952,620.9755206279716,255.83160362460643,framenr_50_framevid_example9
50,1152.1817136618354,615.1158480347949,259.35181922903746,framenr_51_framevid_example9
51,1145.7876332568287,615.4747873473697,257.10436716786336,framenr_52_framevid_example9
52,1131.8140284488652,621.7812791442863,249.3322670435704,framenr_53_framevid_example9
53,1115.6960851750734,631.9822191081137,238.35684690631703,framenr_54_framevid_example9
54,1103.2657757732375,642.8601176148875,227.44695747311624,framenr_55_framevid_example9
55,1098.6784996357444,651.1903120505407,219.33223613615155,framenr_56_framevid_example9
56,1102.980167198297,654.9690479347711,215.10911359084267,framenr_57_framevid_example9
57,1113.8801640031795,654.1744413918865,214.0516613347869,framenr_58_framevid_example9
58,1126.8071096996784,650.7045950953798,214.34978191566785,framenr_59_framevid_example9
59,1136.801175478459,647.4970189938001,214.3170848858962,framenr_60_framevid_example9
60,1140.4592984063859,647.2071335109719,213.38896768704055,framenr_61_framevid_example9
61,1137.142305784943,651.0337798279204,212.37443645462457,framenr_62_framevid_example9
62,1128.9803533546046,658.2214937361584,212.84640215210825,framenr_63_framevid_example9
63,1119.734736621179,666.4633145838479,216.02591882035335,framenr_64_framevid_example9
64,1113.0626923328355,673.0132509544453,221.78854047271622,framenr_65_framevid_example9
65,1110.97190440957,675.9876946942838,228.357939722528,framenr_66_framevid_example9
66,1113.1368354723322,675.2462211345801,232.89282416048852,framenr_67_framevid_example9
67,1117.3334711763375,672.4382179650764,232.70889084867122,framenr_68_framevid_example9
68,1120.7250248548078,670.1923531152657,226.54742462153808,framenr_69_framevid_example9
69,1121.3428549266662,670.828537290455,215.27051367467718,framenr_70_framevid_example9
