 ,Label,X,Y,Perim.
1,Batch28:framenr_203_framevid_June12_02.jpeg,69.000,46.000,50.265
2,Batch28:framenr_203_framevid_June16_02.jpeg,1046.500,646.500,863.938
3,Batch28:framenr_204_framevid_June09_01.jpeg,85.500,45.500,28.274
4,Batch28:framenr_204_framevid_June12_02.jpeg,85.500,45.500,28.274
5,Batch28:framenr_204_framevid_June16_02.jpeg,1054.500,641.500,907.920
6,Batch28:framenr_205_framevid_June09_01.jpeg,112.500,69.500,34.558
7,Batch28:framenr_205_framevid_June12_02.jpeg,112.500,69.500,34.558
8,Batch28:framenr_205_framevid_June16_02.jpeg,1054.500,636.500,907.920
9,Batch28:framenr_206_framevid_June09_01.jpeg,79.500,56.500,47.124
10,Batch28:framenr_206_framevid_June12_02.jpeg,79.500,56.500,47.124
11,Batch28:framenr_206_framevid_June16_02.jpeg,1057.500,634.500,939.336
12,Batch28:framenr_207_framevid_June09_01.jpeg,121.000,76.000,25.133
13,Batch28:framenr_207_framevid_June12_02.jpeg,121.000,76.000,25.133
14,Batch28:framenr_207_framevid_June16_02.jpeg,1058.500,628.500,926.770
15,Batch28:framenr_208_framevid_June09_01.jpeg,83.500,66.500,40.841
16,Batch28:framenr_208_framevid_June12_02.jpeg,87.000,55.000,43.982
17,Batch28:framenr_208_framevid_June16_02.jpeg,1062.500,625.500,920.487
18,Batch28:framenr_209_framevid_June09_01.jpeg,145.000,62.000,37.699
19,Batch28:framenr_209_framevid_June12_02.jpeg,145.000,62.000,37.699
20,Batch28:framenr_209_framevid_June16_02.jpeg,1059.000,593.000,917.345
21,Batch28:framenr_210_framevid_June09_01.jpeg,128.000,69.000,43.982
22,Batch28:framenr_210_framevid_June12_02.jpeg,128.000,69.000,43.982
23,Batch28:framenr_210_framevid_June16_02.jpeg,1066.500,571.500,939.336
24,Batch28:framenr_211_framevid_June09_01.jpeg,86.000,49.000,94.248
25,Batch28:framenr_211_framevid_June12_02.jpeg,86.000,49.000,94.248
26,Batch28:framenr_211_framevid_June16_02.jpeg,1070.500,551.500,977.035
27,Batch28:framenr_212_framevid_June09_01.jpeg,113.666,499.500,1247.212
28,Batch28:framenr_212_framevid_June12_02.jpeg,81.000,58.000,37.699
29,Batch28:framenr_212_framevid_June16_02.jpeg,1073.500,542.500,1014.734
30,Batch28:framenr_213_framevid_June09_01.jpeg,120.254,467.500,1215.796
31,Batch28:framenr_213_framevid_June12_02.jpeg,82.000,45.000,56.549
32,Batch28:framenr_213_framevid_June16_02.jpeg,1057.500,553.500,995.885
33,Batch28:framenr_214_framevid_June09_01.jpeg,128.928,444.000,1181.239
34,Batch28:framenr_214_framevid_June12_02.jpeg,66.000,61.000,119.381
35,Batch28:framenr_214_framevid_June16_02.jpeg,1049.500,549.500,1027.301
36,Batch28:framenr_215_framevid_June09_01.jpeg,112.922,424.500,1228.363
37,Batch28:framenr_215_framevid_June12_02.jpeg,1160.500,470.500,1561.372
38,Batch28:framenr_215_framevid_June16_02.jpeg,1059.500,558.500,1077.566
39,Batch28:framenr_216_framevid_June09_01.jpeg,112.671,390.000,1086.991
40,Batch28:framenr_216_framevid_June12_02.jpeg,1161.000,465.000,1545.664
41,Batch28:framenr_216_framevid_June16_02.jpeg,1045.000,574.000,1017.876
42,Batch28:framenr_217_framevid_June09_01.jpeg,107.003,317.500,1146.681
43,Batch28:framenr_217_framevid_June12_02.jpeg,1179.000,465.000,1608.495
44,Batch28:framenr_217_framevid_June16_02.jpeg,1048.500,570.500,1046.150
45,Batch28:framenr_218_framevid_June09_01.jpeg,120.773,292.500,1215.796
46,Batch28:framenr_218_framevid_June12_02.jpeg,1189.000,470.000,1633.628
47,Batch28:framenr_218_framevid_June16_02.jpeg,1049.000,549.000,1086.991
48,Batch28:framenr_219_framevid_June09_01.jpeg,134.528,265.000,1200.088
49,Batch28:framenr_219_framevid_June12_02.jpeg,1187.500,470.500,1586.504
50,Batch28:framenr_219_framevid_June16_02.jpeg,1035.500,547.500,1077.566
