,frame,roi_x1,roi_y1,roi_x2,roi_y2,x,y,r,name,alpha,beta,minDist,threh_div1,threh_div2,dilation,phase1_medianblur
0,1,448.0,140.0,1136,836,1100.0,472.0,234,framenr_1_framevid_June16_02,2,35,10000,10,13,7,7
1,2,448.0,140.0,1136,836,970.0,534.0,148,framenr_2_framevid_June16_02,2,35,10000,10,13,7,7
2,3,448.0,140.0,1136,836,1036.0,586.0,167,framenr_3_framevid_June16_02,2,35,10000,10,13,7,7
3,4,448.0,140.0,1136,836,1246.0,662.0,243,framenr_4_framevid_June16_02,2,35,10000,10,13,7,7
4,5,448.0,140.0,1136,836,1068.0,552.0,181,framenr_5_framevid_June16_02,2,35,10000,10,13,7,7
5,6,448.0,140.0,1136,836,1072.0,446.0,232,framenr_6_framevid_June16_02,2,35,10000,10,13,7,7
6,7,448.0,140.0,1136,836,1122.0,476.0,235,framenr_7_framevid_June16_02,2,35,10000,10,13,7,7
7,8,448.0,140.0,1136,836,1096.0,454.0,258,framenr_8_framevid_June16_02,2,35,10000,10,13,7,7
8,9,448.0,140.0,1136,836,1104.0,452.0,218,framenr_9_framevid_June16_02,2,35,10000,10,13,7,7
9,10,448.0,140.0,1136,836,1096.0,442.0,206,framenr_10_framevid_June16_02,2,35,10000,10,13,7,7
10,11,448.0,140.0,1136,836,1128.0,354.0,242,framenr_11_framevid_June16_02,2,35,10000,10,13,7,7
11,12,448.0,140.0,1136,836,1104.0,408.0,241,framenr_12_framevid_June16_02,2,35,10000,10,13,7,7
12,13,448.0,140.0,1136,836,1166.0,468.0,242,framenr_13_framevid_June16_02,2,35,10000,10,13,7,7
13,14,448.0,140.0,1136,836,1340.0,438.0,150,framenr_14_framevid_June16_02,2,35,10000,10,13,7,7
14,15,448.0,140.0,1136,836,1076.0,468.0,220,framenr_15_framevid_June16_02,2,35,10000,10,13,7,7
15,16,448.0,140.0,1136,836,1252.0,412.0,219,framenr_16_framevid_June16_02,2,35,10000,10,13,7,7
16,17,448.0,140.0,1136,836,1096.0,462.0,235,framenr_17_framevid_June16_02,2,35,10000,10,13,7,7
17,18,448.0,140.0,1136,836,970.0,506.0,177,framenr_18_framevid_June16_02,2,35,10000,10,13,7,7
18,19,448.0,140.0,1136,836,1102.0,490.0,262,framenr_19_framevid_June16_02,2,35,10000,10,13,7,7
19,20,448.0,140.0,1136,836,1024.0,532.0,204,framenr_20_framevid_June16_02,2,35,10000,10,13,7,7
20,21,448.0,140.0,1136,836,954.0,560.0,129,framenr_21_framevid_June16_02,2,35,10000,10,13,7,7
21,22,448.0,140.0,1136,836,1006.0,574.0,218,framenr_22_framevid_June16_02,2,35,10000,10,13,7,7
22,23,448.0,140.0,1136,836,1294.0,670.0,208,framenr_23_framevid_June16_02,2,35,10000,10,13,7,7
23,24,448.0,140.0,1136,836,1024.0,472.0,198,framenr_24_framevid_June16_02,2,35,10000,10,13,7,7
24,25,448.0,140.0,1136,836,988.0,652.0,171,framenr_25_framevid_June16_02,2,35,10000,10,13,7,7
25,26,448.0,140.0,1136,836,976.0,654.0,167,framenr_26_framevid_June16_02,2,35,10000,10,13,7,7
26,27,448.0,140.0,1136,836,976.0,662.0,162,framenr_27_framevid_June16_02,2,35,10000,10,13,7,7
27,28,448.0,140.0,1136,836,984.0,680.0,160,framenr_28_framevid_June16_02,2,35,10000,10,13,7,7
28,29,448.0,140.0,1136,836,990.0,702.0,157,framenr_29_framevid_June16_02,2,35,10000,10,13,7,7
29,30,448.0,140.0,1136,836,1328.0,380.0,138,framenr_30_framevid_June16_02,2,35,10000,10,13,7,7
30,31,448.0,140.0,1136,836,908.0,222.0,239,framenr_31_framevid_June16_02,2,35,10000,10,13,7,7
31,32,448.0,140.0,1136,836,1280.0,418.0,162,framenr_32_framevid_June16_02,2,35,10000,10,13,7,7
32,33,448.0,140.0,1136,836,950.0,648.0,260,framenr_33_framevid_June16_02,2,35,10000,10,13,7,7
33,34,448.0,140.0,1136,836,952.0,644.0,267,framenr_34_framevid_June16_02,2,35,10000,10,13,7,7
34,35,448.0,140.0,1136,836,1278.0,708.0,204,framenr_35_framevid_June16_02,2,35,10000,10,13,7,7
35,36,448.0,140.0,1136,836,954.0,624.0,243,framenr_36_framevid_June16_02,2,35,10000,10,13,7,7
36,37,448.0,140.0,1136,836,1218.0,530.0,149,framenr_37_framevid_June16_02,2,35,10000,10,13,7,7
37,38,448.0,140.0,1136,836,1048.0,664.0,144,framenr_38_framevid_June16_02,2,35,10000,10,13,7,7
38,39,448.0,140.0,1136,836,962.0,666.0,157,framenr_39_framevid_June16_02,2,35,10000,10,13,7,7
39,40,448.0,140.0,1136,836,1340.0,366.0,113,framenr_40_framevid_June16_02,2,35,10000,10,13,7,7
40,41,448.0,140.0,1136,836,990.0,700.0,168,framenr_41_framevid_June16_02,2,35,10000,10,13,7,7
41,42,448.0,140.0,1136,836,1018.0,722.0,158,framenr_42_framevid_June16_02,2,35,10000,10,13,7,7
42,43,448.0,140.0,1136,836,1048.0,738.0,144,framenr_43_framevid_June16_02,2,35,10000,10,13,7,7
43,44,448.0,140.0,1136,836,1044.0,612.0,223,framenr_44_framevid_June16_02,2,35,10000,10,13,7,7
44,45,448.0,140.0,1136,836,1326.0,386.0,162,framenr_45_framevid_June16_02,2,35,10000,10,13,7,7
45,46,448.0,140.0,1136,836,1054.0,754.0,144,framenr_46_framevid_June16_02,2,35,10000,10,13,7,7
46,47,448.0,140.0,1136,836,1056.0,624.0,243,framenr_47_framevid_June16_02,2,35,10000,10,13,7,7
47,48,448.0,140.0,1136,836,1348.0,382.0,171,framenr_48_framevid_June16_02,2,35,10000,10,13,7,7
48,49,448.0,140.0,1136,836,1098.0,784.0,204,framenr_49_framevid_June16_02,2,35,10000,10,13,7,7
49,50,448.0,140.0,1136,836,1364.0,348.0,127,framenr_50_framevid_June16_02,2,35,10000,10,13,7,7
50,51,448.0,140.0,1136,836,1346.0,466.0,206,framenr_51_framevid_June16_02,2,35,10000,10,13,7,7
51,52,448.0,140.0,1136,836,1296.0,420.0,137,framenr_52_framevid_June16_02,2,35,10000,10,13,7,7
52,53,448.0,140.0,1136,836,1470.0,432.0,69,framenr_53_framevid_June16_02,2,35,10000,10,13,7,7
