,frame,roi_x1,roi_y1,roi_x2,roi_y2,x,y,r,name,alpha,beta,minDist,threh_div1,threh_div2,dilation,medianblur
0,1,8,96,1156,925,494,456,237,framenr_1_framevid_June09_03,2,35,10000,12,13,6,25
1,2,8,96,1156,925,280,396,144,framenr_2_framevid_June09_03,2,35,10000,12,13,6,25
2,3,8,96,1156,925,280,546,162,framenr_3_framevid_June09_03,2,35,10000,12,13,6,25
3,4,8,96,1156,925,356,458,239,framenr_4_framevid_June09_03,2,35,10000,12,13,6,25
4,5,8,96,1156,925,750,318,186,framenr_5_framevid_June09_03,2,35,10000,12,13,6,25
5,6,8,96,1156,925,946,580,227,framenr_6_framevid_June09_03,2,35,10000,12,13,6,25
6,7,8,96,1156,925,742,274,139,framenr_7_framevid_June09_03,2,35,10000,12,13,6,25
7,8,8,96,1156,925,862,290,164,framenr_8_framevid_June09_03,2,35,10000,12,13,6,25
8,9,8,96,1156,925,554,272,229,framenr_9_framevid_June09_03,2,35,10000,12,13,6,25
9,10,8,96,1156,925,780,268,214,framenr_10_framevid_June09_03,2,35,10000,12,13,6,25
10,11,8,96,1156,925,250,690,142,framenr_11_framevid_June09_03,2,35,10000,12,13,6,25
11,12,8,96,1156,925,556,300,155,framenr_12_framevid_June09_03,2,35,10000,12,13,6,25
12,13,8,96,1156,925,660,224,154,framenr_13_framevid_June09_03,2,35,10000,12,13,6,25
13,14,8,96,1156,925,674,360,240,framenr_14_framevid_June09_03,2,35,10000,12,13,6,25
14,15,8,96,1156,925,698,408,231,framenr_15_framevid_June09_03,2,35,10000,12,13,6,25
15,16,8,96,1156,925,692,480,215,framenr_16_framevid_June09_03,2,35,10000,12,13,6,25
16,17,8,96,1156,925,720,512,215,framenr_17_framevid_June09_03,2,35,10000,12,13,6,25
17,18,8,96,1156,925,764,538,215,framenr_18_framevid_June09_03,2,35,10000,12,13,6,25
18,19,8,96,1156,925,826,554,234,framenr_19_framevid_June09_03,2,35,10000,12,13,6,25
19,20,8,96,1156,925,854,584,228,framenr_20_framevid_June09_03,2,35,10000,12,13,6,25
20,21,8,96,1156,925,888,608,231,framenr_21_framevid_June09_03,2,35,10000,12,13,6,25
21,22,8,96,1156,925,920,622,235,framenr_22_framevid_June09_03,2,35,10000,12,13,6,25
22,23,8,96,1156,925,936,634,225,framenr_23_framevid_June09_03,2,35,10000,12,13,6,25
23,24,8,96,1156,925,952,644,219,framenr_24_framevid_June09_03,2,35,10000,12,13,6,25
24,25,8,96,1156,925,970,656,213,framenr_25_framevid_June09_03,2,35,10000,12,13,6,25
25,26,8,96,1156,925,966,662,193,framenr_26_framevid_June09_03,2,35,10000,12,13,6,25
26,27,8,96,1156,925,1024,654,237,framenr_27_framevid_June09_03,2,35,10000,12,13,6,25
27,28,8,96,1156,925,990,648,174,framenr_28_framevid_June09_03,2,35,10000,12,13,6,25
28,29,8,96,1156,925,994,672,192,framenr_29_framevid_June09_03,2,35,10000,12,13,6,25
29,30,8,96,1156,925,986,674,172,framenr_30_framevid_June09_03,2,35,10000,12,13,6,25
30,31,8,96,1156,925,1012,676,188,framenr_31_framevid_June09_03,2,35,10000,12,13,6,25
31,32,8,96,1156,925,994,678,165,framenr_32_framevid_June09_03,2,35,10000,12,13,6,25
32,33,8,96,1156,925,422,406,185,framenr_33_framevid_June09_03,2,35,10000,12,13,6,25
33,34,8,96,1156,925,464,710,253,framenr_34_framevid_June09_03,2,35,10000,12,13,6,25
34,35,8,96,1156,925,460,704,257,framenr_35_framevid_June09_03,2,35,10000,12,13,6,25
35,36,8,96,1156,925,1100,660,243,framenr_36_framevid_June09_03,2,35,10000,12,13,6,25
36,37,8,96,1156,925,1104,666,239,framenr_37_framevid_June09_03,2,35,10000,12,13,6,25
37,38,8,96,1156,925,1048,668,175,framenr_38_framevid_June09_03,2,35,10000,12,13,6,25
38,39,8,96,1156,925,1028,664,129,framenr_39_framevid_June09_03,2,35,10000,12,13,6,25
39,40,8,96,1156,925,1032,664,156,framenr_40_framevid_June09_03,2,35,10000,12,13,6,25
40,41,8,96,1156,925,1032,660,163,framenr_41_framevid_June09_03,2,35,10000,12,13,6,25
41,42,8,96,1156,925,1020,628,169,framenr_42_framevid_June09_03,2,35,10000,12,13,6,25
42,43,8,96,1156,925,990,640,156,framenr_43_framevid_June09_03,2,35,10000,12,13,6,25
43,44,8,96,1156,925,982,642,164,framenr_44_framevid_June09_03,2,35,10000,12,13,6,25
44,45,8,96,1156,925,860,608,242,framenr_45_framevid_June09_03,2,35,10000,12,13,6,25
45,46,8,96,1156,925,810,516,247,framenr_46_framevid_June09_03,2,35,10000,12,13,6,25
46,47,8,96,1156,925,684,558,234,framenr_47_framevid_June09_03,2,35,10000,12,13,6,25
47,48,8,96,1156,925,618,466,180,framenr_48_framevid_June09_03,2,35,10000,12,13,6,25
48,49,8,96,1156,925,556,444,228,framenr_49_framevid_June09_03,2,35,10000,12,13,6,25
49,50,8,96,1156,925,540,508,133,framenr_50_framevid_June09_03,2,35,10000,12,13,6,25
50,51,8,96,1156,925,518,392,265,framenr_51_framevid_June09_03,2,35,10000,12,13,6,25
51,52,8,96,1156,925,492,318,216,framenr_52_framevid_June09_03,2,35,10000,12,13,6,25
52,53,8,96,1156,925,486,342,255,framenr_53_framevid_June09_03,2,35,10000,12,13,6,25
53,54,8,96,1156,925,464,316,263,framenr_54_framevid_June09_03,2,35,10000,12,13,6,25
54,55,8,96,1156,925,458,366,265,framenr_55_framevid_June09_03,2,35,10000,12,13,6,25
55,56,8,96,1156,925,470,446,269,framenr_56_framevid_June09_03,2,35,10000,12,13,6,25
56,57,8,96,1156,925,340,560,212,framenr_57_framevid_June09_03,2,35,10000,12,13,6,25
57,58,8,96,1156,925,390,570,247,framenr_58_framevid_June09_03,2,35,10000,12,13,6,25
58,59,8,96,1156,925,382,600,176,framenr_59_framevid_June09_03,2,35,10000,12,13,6,25
59,60,8,96,1156,925,248,810,179,framenr_60_framevid_June09_03,2,35,10000,12,13,6,25
