,frame,roi_x1,roi_y1,roi_x2,roi_y2,x,y,r,name,alpha,beta,minDist,threh_div1,threh_div2,dilation,medianblur
0,1,197,99,940,893,373,283,147,framenr_1_framevid_June09_02,0.5,35,10000,4,10,7,35
1,2,197,99,940,893,375,277,144,framenr_2_framevid_June09_02,0.5,35,10000,4,10,7,35
2,3,197,99,940,893,373,257,153,framenr_3_framevid_June09_02,0.5,35,10000,4,10,7,35
3,4,197,99,940,893,203,669,189,framenr_4_framevid_June09_02,0.5,35,10000,4,10,7,35
4,5,197,99,940,893,217,629,153,framenr_5_framevid_June09_02,0.5,35,10000,4,10,7,35
5,6,197,99,940,893,325,603,206,framenr_6_framevid_June09_02,0.5,35,10000,4,10,7,35
6,7,197,99,940,893,361,535,134,framenr_7_framevid_June09_02,0.5,35,10000,4,10,7,35
7,8,197,99,940,893,351,255,117,framenr_8_framevid_June09_02,0.5,35,10000,4,10,7,35
8,9,197,99,940,893,267,587,197,framenr_9_framevid_June09_02,0.5,35,10000,4,10,7,35
9,10,197,99,940,893,201,643,189,framenr_10_framevid_June09_02,0.5,35,10000,4,10,7,35
10,11,197,99,940,893,575,319,148,framenr_11_framevid_June09_02,0.5,35,10000,4,10,7,35
11,12,197,99,940,893,619,383,207,framenr_12_framevid_June09_02,0.5,35,10000,4,10,7,35
12,13,197,99,940,893,569,383,157,framenr_13_framevid_June09_02,0.5,35,10000,4,10,7,35
13,14,197,99,940,893,199,665,208,framenr_14_framevid_June09_02,0.5,35,10000,4,10,7,35
14,15,197,99,940,893,207,657,193,framenr_15_framevid_June09_02,0.5,35,10000,4,10,7,35
15,16,197,99,940,893,241,611,133,framenr_16_framevid_June09_02,0.5,35,10000,4,10,7,35
16,17,197,99,940,893,269,579,133,framenr_17_framevid_June09_02,0.5,35,10000,4,10,7,35
17,18,197,99,940,893,389,245,152,framenr_18_framevid_June09_02,0.5,35,10000,4,10,7,35
18,19,197,99,940,893,215,679,202,framenr_19_framevid_June09_02,0.5,35,10000,4,10,7,35
19,20,197,99,940,893,551,227,68,framenr_20_framevid_June09_02,0.5,35,10000,4,10,7,35
20,21,197,99,940,893,217,677,200,framenr_21_framevid_June09_02,0.5,35,10000,4,10,7,35
21,22,197,99,940,893,329,791,121,framenr_22_framevid_June09_02,0.5,35,10000,4,10,7,35
22,23,197,99,940,893,325,793,129,framenr_23_framevid_June09_02,0.5,35,10000,4,10,7,35
23,24,197,99,940,893,225,671,195,framenr_24_framevid_June09_02,0.5,35,10000,4,10,7,35
24,25,197,99,940,893,449,241,86,framenr_25_framevid_June09_02,0.5,35,10000,4,10,7,35
25,26,197,99,940,893,329,193,216,framenr_26_framevid_June09_02,0.5,35,10000,4,10,7,35
26,27,197,99,940,893,335,631,169,framenr_27_framevid_June09_02,0.5,35,10000,4,10,7,35
27,28,197,99,940,893,325,557,92,framenr_28_framevid_June09_02,0.5,35,10000,4,10,7,35
28,29,197,99,940,893,503,375,66,framenr_29_framevid_June09_02,0.5,35,10000,4,10,7,35
29,30,197,99,940,893,269,499,140,framenr_30_framevid_June09_02,0.5,35,10000,4,10,7,35
30,31,197,99,940,893,431,229,174,framenr_31_framevid_June09_02,0.5,35,10000,4,10,7,35
31,32,197,99,940,893,571,325,201,framenr_32_framevid_June09_02,0.5,35,10000,4,10,7,35
32,33,197,99,940,893,247,259,57,framenr_33_framevid_June09_02,0.5,35,10000,4,10,7,35
33,34,197,99,940,893,513,369,69,framenr_34_framevid_June09_02,0.5,35,10000,4,10,7,35
34,35,197,99,940,893,333,173,233,framenr_35_framevid_June09_02,0.5,35,10000,4,10,7,35
35,36,197,99,940,893,213,705,247,framenr_36_framevid_June09_02,0.5,35,10000,4,10,7,35
36,37,197,99,940,893,201,481,176,framenr_37_framevid_June09_02,0.5,35,10000,4,10,7,35
37,38,197,99,940,893,249,627,170,framenr_38_framevid_June09_02,0.5,35,10000,4,10,7,35
38,39,197,99,940,893,341,753,115,framenr_39_framevid_June09_02,0.5,35,10000,4,10,7,35
39,40,197,99,940,893,363,339,142,framenr_40_framevid_June09_02,0.5,35,10000,4,10,7,35
40,41,197,99,940,893,337,763,125,framenr_41_framevid_June09_02,0.5,35,10000,4,10,7,35
41,42,197,99,940,893,229,423,119,framenr_42_framevid_June09_02,0.5,35,10000,4,10,7,35
42,43,197,99,940,893,547,415,154,framenr_43_framevid_June09_02,0.5,35,10000,4,10,7,35
43,44,197,99,940,893,569,227,92,framenr_44_framevid_June09_02,0.5,35,10000,4,10,7,35
44,45,197,99,940,893,327,221,202,framenr_45_framevid_June09_02,0.5,35,10000,4,10,7,35
45,46,197,99,940,893,201,693,256,framenr_46_framevid_June09_02,0.5,35,10000,4,10,7,35
46,47,197,99,940,893,203,691,254,framenr_47_framevid_June09_02,0.5,35,10000,4,10,7,35
47,48,197,99,940,893,201,689,256,framenr_48_framevid_June09_02,0.5,35,10000,4,10,7,35
48,49,197,99,940,893,205,683,251,framenr_49_framevid_June09_02,0.5,35,10000,4,10,7,35
49,50,197,99,940,893,199,677,253,framenr_50_framevid_June09_02,0.5,35,10000,4,10,7,35
50,51,197,99,940,893,395,573,192,framenr_51_framevid_June09_02,0.5,35,10000,4,10,7,35
51,52,197,99,940,893,457,577,174,framenr_52_framevid_June09_02,0.5,35,10000,4,10,7,35
52,53,197,99,940,893,443,591,195,framenr_53_framevid_June09_02,0.5,35,10000,4,10,7,35
53,54,197,99,940,893,455,575,174,framenr_54_framevid_June09_02,0.5,35,10000,4,10,7,35
54,55,197,99,940,893,475,543,137,framenr_55_framevid_June09_02,0.5,35,10000,4,10,7,35
55,56,197,99,940,893,455,573,175,framenr_56_framevid_June09_02,0.5,35,10000,4,10,7,35
56,57,197,99,940,893,427,617,227,framenr_57_framevid_June09_02,0.5,35,10000,4,10,7,35
57,58,197,99,940,893,779,623,209,framenr_58_framevid_June09_02,0.5,35,10000,4,10,7,35
58,59,197,99,940,893,783,623,208,framenr_59_framevid_June09_02,0.5,35,10000,4,10,7,35
59,60,197,99,940,893,793,611,218,framenr_60_framevid_June09_02,0.5,35,10000,4,10,7,35
60,61,197,99,940,893,431,583,205,framenr_61_framevid_June09_02,0.5,35,10000,4,10,7,35
61,62,197,99,940,893,457,563,177,framenr_62_framevid_June09_02,0.5,35,10000,4,10,7,35
62,63,197,99,940,893,453,559,175,framenr_63_framevid_June09_02,0.5,35,10000,4,10,7,35
63,64,197,99,940,893,429,575,205,framenr_64_framevid_June09_02,0.5,35,10000,4,10,7,35
64,65,197,99,940,893,459,565,177,framenr_65_framevid_June09_02,0.5,35,10000,4,10,7,35
65,66,197,99,940,893,513,299,225,framenr_66_framevid_June09_02,0.5,35,10000,4,10,7,35
66,67,197,99,940,893,475,535,139,framenr_67_framevid_June09_02,0.5,35,10000,4,10,7,35
67,68,197,99,940,893,453,565,175,framenr_68_framevid_June09_02,0.5,35,10000,4,10,7,35
68,69,197,99,940,893,515,297,232,framenr_69_framevid_June09_02,0.5,35,10000,4,10,7,35
69,70,197,99,940,893,447,585,196,framenr_70_framevid_June09_02,0.5,35,10000,4,10,7,35
70,71,197,99,940,893,427,611,227,framenr_71_framevid_June09_02,0.5,35,10000,4,10,7,35
71,72,197,99,940,893,443,585,194,framenr_72_framevid_June09_02,0.5,35,10000,4,10,7,35
72,73,197,99,940,893,455,575,175,framenr_73_framevid_June09_02,0.5,35,10000,4,10,7,35
73,74,197,99,940,893,445,589,191,framenr_74_framevid_June09_02,0.5,35,10000,4,10,7,35
74,75,197,99,940,893,203,667,248,framenr_75_framevid_June09_02,0.5,35,10000,4,10,7,35
75,76,197,99,940,893,207,663,242,framenr_76_framevid_June09_02,0.5,35,10000,4,10,7,35
76,77,197,99,940,893,453,595,192,framenr_77_framevid_June09_02,0.5,35,10000,4,10,7,35
77,78,197,99,940,893,443,591,192,framenr_78_framevid_June09_02,0.5,35,10000,4,10,7,35
78,79,197,99,940,893,437,611,209,framenr_79_framevid_June09_02,0.5,35,10000,4,10,7,35
79,80,197,99,940,893,459,585,176,framenr_80_framevid_June09_02,0.5,35,10000,4,10,7,35
80,81,197,99,940,893,451,597,191,framenr_81_framevid_June09_02,0.5,35,10000,4,10,7,35
81,82,197,99,940,893,441,595,194,framenr_82_framevid_June09_02,0.5,35,10000,4,10,7,35
82,83,197,99,940,893,483,363,174,framenr_83_framevid_June09_02,0.5,35,10000,4,10,7,35
83,84,197,99,940,893,437,597,191,framenr_84_framevid_June09_02,0.5,35,10000,4,10,7,35
84,85,197,99,940,893,447,601,191,framenr_85_framevid_June09_02,0.5,35,10000,4,10,7,35
85,86,197,99,940,893,443,597,191,framenr_86_framevid_June09_02,0.5,35,10000,4,10,7,35
86,87,197,99,940,893,451,587,177,framenr_87_framevid_June09_02,0.5,35,10000,4,10,7,35
87,88,197,99,940,893,413,517,126,framenr_88_framevid_June09_02,0.5,35,10000,4,10,7,35
88,89,197,99,940,893,341,629,211,framenr_89_framevid_June09_02,0.5,35,10000,4,10,7,35
89,90,197,99,940,893,421,611,205,framenr_90_framevid_June09_02,0.5,35,10000,4,10,7,35
90,91,197,99,940,893,513,311,249,framenr_91_framevid_June09_02,0.5,35,10000,4,10,7,35
91,92,197,99,940,893,417,621,209,framenr_92_framevid_June09_02,0.5,35,10000,4,10,7,35
92,93,197,99,940,893,421,625,208,framenr_93_framevid_June09_02,0.5,35,10000,4,10,7,35
93,94,197,99,940,893,483,357,200,framenr_94_framevid_June09_02,0.5,35,10000,4,10,7,35
94,95,197,99,940,893,421,629,207,framenr_95_framevid_June09_02,0.5,35,10000,4,10,7,35
95,96,197,99,940,893,397,505,100,framenr_96_framevid_June09_02,0.5,35,10000,4,10,7,35
96,97,197,99,940,893,471,373,186,framenr_97_framevid_June09_02,0.5,35,10000,4,10,7,35
97,98,197,99,940,893,429,597,173,framenr_98_framevid_June09_02,0.5,35,10000,4,10,7,35
98,99,197,99,940,893,455,553,226,framenr_99_framevid_June09_02,0.5,35,10000,4,10,7,35
99,100,197,99,940,893,429,601,174,framenr_100_framevid_June09_02,0.5,35,10000,4,10,7,35
100,101,197,99,940,893,479,351,210,framenr_101_framevid_June09_02,0.5,35,10000,4,10,7,35
101,102,197,99,940,893,455,767,186,framenr_102_framevid_June09_02,0.5,35,10000,4,10,7,35
102,103,197,99,940,893,429,603,174,framenr_103_framevid_June09_02,0.5,35,10000,4,10,7,35
103,104,197,99,940,893,413,635,207,framenr_104_framevid_June09_02,0.5,35,10000,4,10,7,35
104,105,197,99,940,893,421,641,208,framenr_105_framevid_June09_02,0.5,35,10000,4,10,7,35
105,106,197,99,940,893,517,709,216,framenr_106_framevid_June09_02,0.5,35,10000,4,10,7,35
106,107,197,99,940,893,459,563,128,framenr_107_framevid_June09_02,0.5,35,10000,4,10,7,35
107,108,197,99,940,893,477,387,203,framenr_108_framevid_June09_02,0.5,35,10000,4,10,7,35
108,109,197,99,940,893,497,353,241,framenr_109_framevid_June09_02,0.5,35,10000,4,10,7,35
109,110,197,99,940,893,507,349,250,framenr_110_framevid_June09_02,0.5,35,10000,4,10,7,35
110,111,197,99,940,893,491,313,252,framenr_111_framevid_June09_02,0.5,35,10000,4,10,7,35
111,112,197,99,940,893,411,615,193,framenr_112_framevid_June09_02,0.5,35,10000,4,10,7,35
112,113,197,99,940,893,507,425,157,framenr_113_framevid_June09_02,0.5,35,10000,4,10,7,35
113,114,197,99,940,893,485,313,252,framenr_114_framevid_June09_02,0.5,35,10000,4,10,7,35
114,115,197,99,940,893,481,323,242,framenr_115_framevid_June09_02,0.5,35,10000,4,10,7,35
115,116,197,99,940,893,417,607,176,framenr_116_framevid_June09_02,0.5,35,10000,4,10,7,35
116,117,197,99,940,893,463,351,219,framenr_117_framevid_June09_02,0.5,35,10000,4,10,7,35
117,118,197,99,940,893,457,351,219,framenr_118_framevid_June09_02,0.5,35,10000,4,10,7,35
118,119,197,99,940,893,407,611,174,framenr_119_framevid_June09_02,0.5,35,10000,4,10,7,35
119,120,197,99,940,893,399,625,194,framenr_120_framevid_June09_02,0.5,35,10000,4,10,7,35
120,121,197,99,940,893,411,609,178,framenr_121_framevid_June09_02,0.5,35,10000,4,10,7,35
121,122,197,99,940,893,447,373,192,framenr_122_framevid_June09_02,0.5,35,10000,4,10,7,35
122,123,197,99,940,893,399,625,192,framenr_123_framevid_June09_02,0.5,35,10000,4,10,7,35
123,124,197,99,940,893,467,333,245,framenr_124_framevid_June09_02,0.5,35,10000,4,10,7,35
124,125,197,99,940,893,423,735,190,framenr_125_framevid_June09_02,0.5,35,10000,4,10,7,35
125,126,197,99,940,893,467,329,248,framenr_126_framevid_June09_02,0.5,35,10000,4,10,7,35
126,127,197,99,940,893,253,597,189,framenr_127_framevid_June09_02,0.5,35,10000,4,10,7,35
127,128,197,99,940,893,625,525,227,framenr_128_framevid_June09_02,0.5,35,10000,4,10,7,35
128,129,197,99,940,893,381,415,78,framenr_129_framevid_June09_02,0.5,35,10000,4,10,7,35
129,130,197,99,940,893,519,703,143,framenr_130_framevid_June09_02,0.5,35,10000,4,10,7,35
130,131,197,99,940,893,551,501,263,framenr_131_framevid_June09_02,0.5,35,10000,4,10,7,35
131,132,197,99,940,893,415,371,73,framenr_132_framevid_June09_02,0.5,35,10000,4,10,7,35
132,133,197,99,940,893,353,507,156,framenr_133_framevid_June09_02,0.5,35,10000,4,10,7,35
133,134,197,99,940,893,299,267,215,framenr_134_framevid_June09_02,0.5,35,10000,4,10,7,35
134,135,197,99,940,893,593,429,234,framenr_135_framevid_June09_02,0.5,35,10000,4,10,7,35
135,136,197,99,940,893,427,381,184,framenr_136_framevid_June09_02,0.5,35,10000,4,10,7,35
136,137,197,99,940,893,457,333,243,framenr_137_framevid_June09_02,0.5,35,10000,4,10,7,35
