,frame,roi_x1,roi_y1,roi_x2,roi_y2,x,y,r,name,alpha,beta,minDist,threh_div1,threh_div2,dilation,phase1_medianblur
0,1,197,99,940,893,949,599,192,framenr_1_framevid_June09_02,2.5,35,10000,8,13,7,25
1,2,197,99,940,893,799,749,255,framenr_2_framevid_June09_02,2.5,35,10000,8,13,7,25
2,3,197,99,940,893,837,399,242,framenr_3_framevid_June09_02,2.5,35,10000,8,13,7,25
3,4,197,99,940,893,973,539,112,framenr_4_framevid_June09_02,2.5,35,10000,8,13,7,25
4,5,197,99,940,893,803,717,263,framenr_5_framevid_June09_02,2.5,35,10000,8,13,7,25
5,6,197,99,940,893,797,721,253,framenr_6_framevid_June09_02,2.5,35,10000,8,13,7,25
6,7,197,99,940,893,993,665,137,framenr_7_framevid_June09_02,2.5,35,10000,8,13,7,25
7,8,197,99,940,893,781,729,232,framenr_8_framevid_June09_02,2.5,35,10000,8,13,7,25
8,9,197,99,940,893,911,427,229,framenr_9_framevid_June09_02,2.5,35,10000,8,13,7,25
9,10,197,99,940,893,629,655,235,framenr_10_framevid_June09_02,2.5,35,10000,8,13,7,25
10,11,197,99,940,893,687,505,238,framenr_11_framevid_June09_02,2.5,35,10000,8,13,7,25
11,12,197,99,940,893,615,569,209,framenr_12_framevid_June09_02,2.5,35,10000,8,13,7,25
12,13,197,99,940,893,839,521,203,framenr_13_framevid_June09_02,2.5,35,10000,8,13,7,25
13,14,197,99,940,893,807,399,218,framenr_14_framevid_June09_02,2.5,35,10000,8,13,7,25
14,15,197,99,940,893,591,735,154,framenr_15_framevid_June09_02,2.5,35,10000,8,13,7,25
15,16,197,99,940,893,745,347,222,framenr_16_framevid_June09_02,2.5,35,10000,8,13,7,25
16,17,197,99,940,893,689,635,209,framenr_17_framevid_June09_02,2.5,35,10000,8,13,7,25
17,18,197,99,940,893,629,765,181,framenr_18_framevid_June09_02,2.5,35,10000,8,13,7,25
